landscape	model	target	n_reps	mean_FROH	sd_between_reps	min_rep_FROH	max_rep_FROH	empirical_FROH	absolute_error
full	Kexp1p3_D120	ESkane_hist	5	0.0275238569313707	0.00551285309319711	0.0224313830853449	0.0358745535813202	0.0084	0.0191238569313707
full	Kexp1p3_D120	ESkane_mod	5	0.0464945953816084	0.0206822393651495	0.0257506178211923	0.0788683779389181	0.016125	0.0303695953816084
full	Kexp1p3_D120	SESkane_mod	5	0.0355121326339191	0.00861579474689779	0.0265890350513808	0.0474268021818133	0.1537142857	-0.118202153066081
full	Kexp1p3_D120	WSkane_hist	5	0.0270324516236761	0.00652469160145192	0.0216263949203756	0.0378951690380371	0.0082	0.0188324516236761
full	Kexp1p3_D120	WSkane_mod	5	0.0296343522863748	0.00578956563071506	0.0244767711859807	0.0388098659541838	0.061375	-0.0317406477136252
no_oland	Kexp1p2_D120	ESkane_hist	5	0.0244783754060682	0.00283001032162888	0.0205314178500535	0.0274632777299425	0.0084	0.0160783754060682
no_oland	Kexp1p2_D120	ESkane_mod	5	0.0279138344611075	0.00740861329468607	0.0178088249239254	0.0352487710977648	0.016125	0.0117888344611075
no_oland	Kexp1p2_D120	NSmaland_hist_1900proxy	4	0.0839196884012636	0.076502631305557	0.0353852771760279	0.19810556888349	NA	NA
no_oland	Kexp1p2_D120	NSmaland_hist_1951proxy	1	0.037798154548851	NA	0.037798154548851	0.037798154548851	NA	NA
no_oland	Kexp1p2_D120	SESkane_mod	5	0.0357469435857917	0.0172110958447296	0.0232844067115123	0.0655909237909879	0.1537142857	-0.117967342114208
no_oland	Kexp1p2_D120	WSkane_hist	5	0.0200195978129688	0.0072549016605358	0.0150060181527456	0.0328377621278915	0.0082	0.0118195978129688
no_oland	Kexp1p2_D120	WSkane_mod	5	0.0283233540774985	0.0119948517683885	0.0138991507876755	0.0458634566357131	0.061375	-0.0330516459225015
no_oland	Kexp1p3_D120	ESkane_hist	5	0.0193837008522389	0.00505220946374134	0.0139830101754562	0.0269336014724825	0.0084	0.0109837008522389
no_oland	Kexp1p3_D120	ESkane_mod	5	0.0400273890484918	0.00708632001080694	0.0296875027922553	0.0482782884581426	0.016125	0.0239023890484918
no_oland	Kexp1p3_D120	SESkane_mod	5	0.0332254238017345	0.00712196540230078	0.0259584255049669	0.0427740787627061	0.1537142857	-0.120488861898266
no_oland	Kexp1p3_D120	WSkane_hist	5	0.0222838287291399	0.00506742073442041	0.0182734209470101	0.0308872518676024	0.0082	0.0140838287291399
no_oland	Kexp1p3_D120	WSkane_mod	5	0.022522100290942	0.00537408133292528	0.0143363847874263	0.0291171551053997	0.061375	-0.038852899709058
skane_only	Kexp1p2_D120	ESkane_hist	5	0.0252771620759019	0.00467705547878842	0.0195505605454181	0.0312015245236329	0.0084	0.0168771620759019
skane_only	Kexp1p2_D120	ESkane_mod	5	0.0297060292158872	0.00483183310070961	0.0247767478562839	0.0363442470424302	0.016125	0.0135810292158872
skane_only	Kexp1p2_D120	SESkane_mod	5	0.0337179408157047	0.0110593386357914	0.0203449866640594	0.0464512469213437	0.1537142857	-0.119996344884295
skane_only	Kexp1p2_D120	WSkane_hist	5	0.0190332013348698	0.00347013185699388	0.0147061251016123	0.0231819588774454	0.0082	0.0108332013348698
skane_only	Kexp1p2_D120	WSkane_mod	5	0.0197840443002896	0.00897887235507222	0.0113901005232577	0.0341286237534533	0.061375	-0.0415909556997104
skane_only	Kexp1p3_D120	ESkane_hist	5	0.0280132598620909	0.0118605576264237	0.0164459924234524	0.0432610132360521	0.0084	0.0196132598620909
skane_only	Kexp1p3_D120	ESkane_mod	5	0.0413495268518509	0.0181269402269824	0.0178569417133067	0.066408899922935	0.016125	0.0252245268518509
skane_only	Kexp1p3_D120	SESkane_mod	5	0.0461260383417615	0.0161309177496239	0.0263809128918676	0.0615502948352313	0.1537142857	-0.107588247358238
skane_only	Kexp1p3_D120	WSkane_hist	5	0.0148900221567558	0.00332911924050872	0.011321623550629	0.0201192284372941	0.0082	0.00669002215675583
skane_only	Kexp1p3_D120	WSkane_mod	5	0.0219361982247428	0.00382800289614524	0.0186041320652969	0.0279600624463209	0.061375	-0.0394388017752572
skane_only	Kexp1p5_D120	ESkane_hist	5	0.0277928979279542	0.00629457100037794	0.0182467133250272	0.035627113456442	0.0084	0.0193928979279542
skane_only	Kexp1p5_D120	ESkane_mod	5	0.0434123807193717	0.027103536118488	0.0226733287489989	0.0878090316476607	0.016125	0.0272873807193717
skane_only	Kexp1p5_D120	SESkane_mod	5	0.0403690391173104	0.00767245031191237	0.0344591861014831	0.0537585487283242	0.1537142857	-0.11334524658269
skane_only	Kexp1p5_D120	WSkane_hist	5	0.0275075089962916	0.00788802112190977	0.0183802833538094	0.0401864989490274	0.0082	0.0193075089962916
skane_only	Kexp1p5_D120	WSkane_mod	5	0.027702830007909	0.00417164807358919	0.0216222742616838	0.0329548988721948	0.061375	-0.033672169992091
