background	habitat	n_records	pct_records	pct_background	ratio	ratio_low	ratio_high
Landscape availability	Grassland	84	24.778761061946902	5.536923930077118	4.475185387205018	3.676045139489837	5.380877667948891
Landscape availability	Cropland	101	29.793510324483773	23.235103183980293	1.2822628799438793	1.0537407825281386	1.4853936332023159
Landscape availability	Forest	128	37.75811209439528	59.275663553182575	0.6369918079536708	0.5474148349601858	0.7215922824475177
Landscape availability	Urban	21	6.1946902654867255	5.005611480829077	1.2375491564240824	0.707170946528047	1.7089964541094471
Landscape availability	Other	5	1.4749262536873156	6.9466978519309315	0.21232048451298904	0.04246409690259781	0.38217687212338025
Monitoring sites	Grassland	84	24.778761061946902	14.751552795031056	1.67973917093619	1.285630730347024	2.1812641041000314
Monitoring sites	Cropland	101	29.793510324483773	26.39751552795031	1.1286482734686794	0.9048622171681721	1.408378335683878
Monitoring sites	Forest	128	37.75811209439528	39.285714285714285	0.9611155805846071	0.8031543278627222	1.1257822523491983
Monitoring sites	Urban	21	6.1946902654867255	17.70186335403727	0.34994566061170623	0.21554394246031042	0.5401282657300536
Monitoring sites	Other	5	1.4749262536873156	1.8633540372670807	0.7915437561455261	0.18997050147492625	2.1107833497214026
