metric	area_1899_km2	area_2019_km2	change_km2	change_percent
Weighted suitable habitat	20826.185023648963	18709.48436496444	-2116.7006586845237	-10.163650501908661
Total grassland	2954.277624826023	785.1900663989429	-2169.08755842708	-73.421926910299
