predictor	odds_ratio_reg	or_low_reg	or_high_reg	p_reg	odds_ratio_all	or_low_all	or_high_all	p_all
Grassland	1	NA	NA	NA	1	NA	NA	NA
Cropland	0.5592622713937315	0.29804740232723653	1.049411220370477	0.0703264591346167	0.8900451064736369	0.5802390538886416	1.365265378551547	0.5935927334886242
Forest	0.7300981172312244	0.4090615154729666	1.3030882657545075	0.28718781022903234	0.7853167781160827	0.5214371966418211	1.1827358039711457	0.24739219784212205
Urban	0.28120693866708124	0.12545923143647733	0.6303030988560627	0.0020641272218507034	0.400314512109241	0.23902426372881172	0.6704411765789411	5.021257088559205e-4
Other	0.4313999608294658	0.08826059602871918	2.108595846589428	0.2990434826974474	0.1969998318902896	0.09070985437843664	0.42783591739540877	4.030901911501023e-5
Northing (per 100 km)	1.2383902473168977	0.9710095795661686	1.5793978112294211	0.08489991259909786	1.4318444921097542	1.3245142113869024	1.547872142072596	1.722467672098925e-19
