method	n_records	n_sites	first_year	last_year	n_zero	min	q05	q25	median	mean	q75	q95	max
Point site	416	145	2010	2025	0	509.29462694168575	509.29462694168575	509.29462694168575	509.29462694168575	768.8390041331218	1018.5892538833715	1527.8838808250573	5092.946269416858
Transect segment	974	165	2004	2025	0	31.985139292911203	206.885289398994	514.905836552642	865.517170142027	1303.9909145787751	1518.122400641778	3997.1405422608796	17752.9829343145
Whole transect	648	165	2004	2025	0	31.985139292911203	55.9466658639246	108.64402692520281	188.5688076973776	357.92880403309766	404.120331717104	1156.0505944799504	6971.82154782376
