Predictor	odds_ratio	or_low	or_high	p
Grassland cover	1.6085066837028126	1.2231054009532354	2.11534815356076	6.712060078439288e-4
Cropland cover	1.0593641626633723	0.87895479498502	1.2768033527305516	0.544883138361104
Forest cover	1.0555862867770704	0.8807086432668083	1.2651884563079516	0.5582847827157862
Urban cover	0.8571621319841973	0.6841415672141358	1.0739398915630067	0.1802858929723375
Northing, per 100 km	1.5313205481357157	1.1461931095273898	2.045853008233107	0.003936669838218134
