radius_m	n	n_presence	mean_grassland	sd_grassland	or_per_10pct	or10_low	or10_high	or_per_sd	orsd_low	orsd_high	p
500	644	115	0.1209156627509942	0.2160541057191902	1.1794534169763458	1.081400594297089	1.2863968913586552	1.4284639877806906	1.184211987816723	1.7230946700246683	1.9360714305394965e-4
1000	640	114	0.09883895333892347	0.1510256169478254	1.2970024629453407	1.1433241856998837	1.471337184961687	1.481049388543546	1.2241952244814596	1.7917953341423383	5.308840256498966e-5
2000	628	112	0.08645053083518171	0.11096912215385368	1.5381154638142116	1.2909314409382255	1.8326296075839528	1.6125009662257235	1.3276031780795177	1.9585365634934884	1.457978307154222e-6
5000	609	110	0.07429161276431051	0.06919502508787491	1.9023169190887583	1.435500903902959	2.5209386150940247	1.5604499812205417	1.2842175204647444	1.8960994575202395	7.5845615322302625e-6
10000	600	107	0.06819253069501123	0.05039801550860125	2.384746924639694	1.6149567993788208	3.5214675072212094	1.5496136296707563	1.2732361694825731	1.885983495298625	1.2415502049415684e-5
