class	clc_codes	n_sites_reg	n_recorded_reg	proportion_reg	ci_low_reg	ci_high_reg	n_sites_all	n_recorded_all	proportion_all	ci_low_all	ci_high_all
Pasture/Rangeland	231	87	22	0.25287356321839083	0.16575461436264005	0.3574530200422823	120	34	0.2833333333333333	0.20485566786352272	0.37282053842171137
Unmanaged grass/shrubland	321, 322, 324	8	1	0.125	0.0031597235312519093	0.5265096708752066	34	11	0.3235294117647059	0.17388342749392152	0.5052653008985045
Cropland	211, 242, 243	170	27	0.1588235294117647	0.10735048942001592	0.22260356616974397	387	123	0.3178294573643411	0.2716954673361367	0.3667767840309606
Forest	311, 312, 313	253	53	0.20948616600790515	0.16103545367043823	0.2648828279501352	595	182	0.3058823529411765	0.269060140080679	0.3446445040219853
Urban	112, 121, 122, 124, 131, 141, 142	114	10	0.08771929824561403	0.04286914203068718	0.15540579307008984	217	37	0.17050691244239632	0.12298456960116756	0.2272775306928223
Other	331, 332, 333, 334, 411, 412, 512, 523	14	2	0.14285714285714285	0.017794515483191532	0.4281291609096989	76	10	0.13157894736842105	0.06494156767608715	0.2286957926076124
