state	year	scenario	rep	n_regions	mean_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb
1900	1900	historical	rep001	5	0.0227984686587449	0.91	427066.242857143	339252.02	2853993.8	0.00456634628490461	0.00502674444747278	0.00413151110686215	0.00907386681950536
1900	1900	historical	rep002	5	0.0208840958249863	0.74	532052.677619047	330210.43	3336506.2	0.00320915809131162	0.00436863523959733	0.00324646288070674	0.0100598396133706
1900	1900	historical	rep003	5	0.0414081964037146	0.8	1170986.67893162	730911.8	9519369.6	0.00314903544332028	0.00533394289074105	0.00303011441881139	0.0298951036508419
1900	1900	historical	rep004	5	0.0158647748384701	0.76	446424.937575758	257314.8	1383460.4	0.00379325477883039	0.00469730247863437	0.00235795935963727	0.00501625822136809
1900	1900	historical	rep005	5	0.0209567840738691	0.82	383817.470634921	266349.72	2219652.2	0.00421412674341966	0.00377843987908224	0.0036266589482919	0.00933755850307534
1900	1900	historical	rep008	5	0.0182761244441249	0.84	423452.89018759	299980.65	1535732	0.00395738438616789	0.00416520462240987	0.00441325296183077	0.00574028247371639
1900	1900	historical	rep009	5	0.0353633676450833	0.79	976022.346666667	630101.19	8073978.2	0.00387116677252058	0.00418227346939345	0.00272957606940215	0.0245803513337671
2020	2020	historical	rep001	5	0.0563808094469933	0.84	1444115.70777389	1027125.36	8919002.2	0.00441486026792532	0.00418535069616445	0.00268783104527216	0.0450927674376314
2020	2020	historical	rep002	5	0.02806786054595	0.83	683023.35724359	423736.9	4238269.6	0.00412426273484062	0.00435441688179622	0.00179578339360473	0.0177933975357085
2020	2020	historical	rep003	5	0.0286535908803766	0.78	810241.146060606	490790.46	4897553.2	0.00352161436749845	0.00418288240701732	0.00328777973749985	0.017661314368361
2020	2020	historical	rep004	5	0.0305670614121599	1.07	529025.901587302	449079.69	4210998	0.00474386683861536	0.00639188395126041	0.00368731099498084	0.0157439996273033
2020	2020	historical	rep005	5	0.0299335596887218	0.85	714612.482328783	510998.39	5202823.6	0.00438130878617452	0.00268902412916626	0.00533631976177162	0.0175269070116094
2020	2020	historical	rep008	5	0.049822952031468	0.93	1198068.20159285	860944.37	6549943.2	0.00459143668425148	0.00437868968295939	0.00330018316161964	0.0375526425026376
