state	scenario	rep	year	region	n_segments	median_length_bp	mean_length_bp	p90_length_bp	max_length_bp
2020	historical	rep005	2020	NE	17	317031	1577312.82352941	3140071.6	15450178
2140 SQ	status_quo	rep005	2140	NE	18	268990	1511142.05555556	2770352	15473572
2140 R2	restore_2km	rep005	2140	NE	14	510956.5	990721.785714286	2991810.6	4370412
2140 R4	restore_4km	rep005	2140	NE	14	206113.5	275644.214285714	480539.6	714268
2140 R6	restore_6km	rep005	2140	NE	11	258333	484251.545454545	794012	2220396
1900	historical	rep008	1900	NE	18	224147.5	396362.055555556	805128.9	1924578
2020	historical	rep008	2020	NE	20	375190.5	2704447.1	11122530.5	19360134
2140 SQ	status_quo	rep008	2140	NE	23	224957	781439.782608696	947611.4	7931618
2140 R2	restore_2km	rep008	2140	NE	24	298691	1656182.875	2996988.5	19358784
2140 R4	restore_4km	rep008	2140	NE	20	244237.5	697709.5	634945	8369389
2140 R6	restore_6km	rep008	2140	NE	20	272819	1829970.35	3115777.30000001	19358784
1900	historical	rep009	1900	NE	12	375046	1404852.33333333	2088999.8	11375793
2020	historical	rep009	2020	NE	25	228972	397397.48	854652.2	2129546
2140 SQ	status_quo	rep009	2140	NE	24	266355.5	525037.791666667	654465.2	4418076
2140 R2	restore_2km	rep009	2140	NE	19	293799	367372.421052632	503740.6	1132889
2140 R4	restore_4km	rep009	2140	NE	24	246609	491896.541666667	632475.4	4222557
2140 R6	restore_6km	rep009	2140	NE	19	292385	445408.157894737	523386.8	2576721
1900	historical	rep001	1900	W	11	209379	245271.181818182	352200	368897
2020	historical	rep001	2020	W	12	266258	339691.083333333	549264.3	873395
2140 SQ	status_quo	rep001	2140	W	20	248459.5	1160982.4	2431035	11979808
2140 R2	restore_2km	rep001	2140	W	16	361504	941953.6875	1284370	8306578
2140 R4	restore_4km	rep001	2140	W	15	233404	328353.6	595837	952328
2140 R6	restore_6km	rep001	2140	W	22	237571.5	731922.590909091	1087061.5	8826546
1900	historical	rep002	1900	W	15	236934	330941	406562	1473567
2020	historical	rep002	2020	W	19	226652	506449.789473684	479441.4	4889124
2140 SQ	status_quo	rep002	2140	W	21	308038	375219	680577	1611485
2140 R2	restore_2km	rep002	2140	W	25	239486	326344.96	540754.2	1241373
2140 R4	restore_4km	rep002	2140	W	23	210478	277372	441440	825013
2140 R6	restore_6km	rep002	2140	W	16	213657	242674.875	366779	387539
1900	historical	rep003	1900	W	15	211377	331054.866666667	699432.4	1052720
2020	historical	rep003	2020	W	16	267601.5	292427.9375	445022.5	560451
2140 SQ	status_quo	rep003	2140	W	19	219074	797876.947368421	767596.799999999	9471395
2140 R2	restore_2km	rep003	2140	W	13	297027	678753.846153846	1203790	3744579
2140 R4	restore_4km	rep003	2140	W	17	244357	1148765.82352941	363392.4	15710668
2140 R6	restore_6km	rep003	2140	W	19	249463	374246.315789474	530060.4	1938467
1900	historical	rep004	1900	W	15	241927	478887.8	679835	2980947
2020	historical	rep004	2020	W	23	286071	613982.739130435	824605.4	6562342
2140 SQ	status_quo	rep004	2140	W	14	193904	321575.714285714	629554.1	1168855
2140 R2	restore_2km	rep004	2140	W	19	241567	391319.473684211	682303.199999999	1614446
2140 R4	restore_4km	rep004	2140	W	18	387649	586454.277777778	892918	3510180
2140 R6	restore_6km	rep004	2140	W	19	342465	1527899.10526316	1376245.2	19359420
1900	historical	rep005	1900	W	25	318809	877857.48	2502455.8	5891137
2020	historical	rep005	2020	W	18	235949.5	361593.5	854402.4	1140768
2140 SQ	status_quo	rep005	2140	W	17	248747	367806.705882353	640196.2	1141786
2140 R2	restore_2km	rep005	2140	W	18	332047.5	388590.888888889	611192.5	969307
2140 R4	restore_4km	rep005	2140	W	12	247864	695506.666666667	1900481.6	2530463
2140 R6	restore_6km	rep005	2140	W	15	271176	371912.533333333	734326.8	1022088
1900	historical	rep008	1900	W	16	227241	330792.4375	606081	987530
2020	historical	rep008	2020	W	18	243742	345174.944444444	588769	1372011
2140 SQ	status_quo	rep008	2140	W	22	217795.5	423856.5	777544.100000001	2560114
2140 R2	restore_2km	rep008	2140	W	23	284133	321018.869565217	518541.2	838585
2140 R4	restore_4km	rep008	2140	W	22	258646	749553.727272727	734093.3	8090386
2140 R6	restore_6km	rep008	2140	W	11	284504	411851.090909091	659626	1381483
1900	historical	rep009	1900	W	17	251349	312520.941176471	459796.2	933519
2020	historical	rep009	2020	W	18	285743	385416.055555556	530301.7	1712464
2140 SQ	status_quo	rep009	2140	W	19	264505	397216.631578947	876430.6	997649
2140 R2	restore_2km	rep009	2140	W	21	215263	329782.571428571	632931	773949
2140 R4	restore_4km	rep009	2140	W	19	273451	410485.736842105	584355	2459486
2140 R6	restore_6km	rep009	2140	W	26	293730	385375.230769231	723997	1303318
1900	historical	rep001	1900	E	22	307252.5	416402.272727273	944196.5	1088188
2020	historical	rep001	2020	E	12	213166	547988.333333333	349550	4160065
2140 SQ	status_quo	rep001	2140	E	18	398309	509643.555555556	861726.6	1712297
2140 R2	restore_2km	rep001	2140	E	29	255176	332115.965517241	420083.4	1391379
2140 R4	restore_4km	rep001	2140	E	9	276662	1499711.66666667	3048290.39999999	10312436
2140 R6	restore_6km	rep001	2140	E	22	240415	306625.181818182	524986.3	1205439
1900	historical	rep002	1900	E	11	279475	617660.272727273	997015	2672115
2020	historical	rep002	2020	E	12	258971.5	591869.416666667	1540422.6	2716755
2140 SQ	status_quo	rep002	2140	E	13	264850	740962.384615385	638639.4	6216767
2140 R2	restore_2km	rep002	2140	E	18	229339	1018167.72222222	1189860	12062930
2140 R4	restore_4km	rep002	2140	E	16	405066	612784.5625	1001425.5	3398710
2140 R6	restore_6km	rep002	2140	E	28	264199.5	333553.035714286	566440.6	1082684
1900	historical	rep003	1900	E	19	417847	1348614.68421053	912243.2	17468160
2020	historical	rep003	2020	E	13	236065	337193.615384615	662601.8	925153
2140 SQ	status_quo	rep003	2140	E	25	223385	988956.48	634484.8	17711606
2140 R2	restore_2km	rep003	2140	E	30	326287	629793.033333333	887849.8	7650309
2140 R4	restore_4km	rep003	2140	E	15	313874	680142	1565689.2	3159757
2140 R6	restore_6km	rep003	2140	E	10	290243.5	974994.3	1674610.6	5373868
1900	historical	rep004	1900	E	14	247761	320517.071428571	510346.8	643828
2020	historical	rep004	2020	E	25	234968	529020.92	774253.2	3322317
2140 SQ	status_quo	rep004	2140	E	25	266285	1643024.88	1635401	19355660
2140 R2	restore_2km	rep004	2140	E	20	239558.5	325331.55	600863.4	1204671
2140 R4	restore_4km	rep004	2140	E	16	249573	452405.0625	662952	2806018
2140 R6	restore_6km	rep004	2140	E	18	212092.5	314512.944444444	634570.4	742358
1900	historical	rep005	1900	E	17	244064	337654.411764706	646788	946661
2020	historical	rep005	2020	E	19	231485	662832.578947368	708889.6	6696183
2140 SQ	status_quo	rep005	2140	E	21	221575	466994.666666667	499107	4413432
2140 R2	restore_2km	rep005	2140	E	18	305698.5	1334096.22222222	473825.3	18965743
2140 R4	restore_4km	rep005	2140	E	19	251379	549273.421052632	1088283.4	3142895
2140 R6	restore_6km	rep005	2140	E	17	380986	479723.882352941	1102905.2	1304512
1900	historical	rep008	1900	E	15	284746	327879.666666667	571430	816414
2020	historical	rep008	2020	E	18	253568.5	678088.833333333	1706200.9	4285188
2140 SQ	status_quo	rep008	2140	E	17	246474	295110.294117647	484298.4	632508
2140 R2	restore_2km	rep008	2140	E	20	176419	229626.45	382568.4	450268
2140 R4	restore_4km	rep008	2140	E	25	253171	327685.92	537968.4	1013617
2140 R6	restore_6km	rep008	2140	E	24	233330	331838.583333333	626618.9	1112019
1900	historical	rep009	1900	E	14	296886.5	1236096.21428571	853236	12759771
2020	historical	rep009	2020	E	15	320426	2522543.06666667	7823204.8	19359420
2140 SQ	status_quo	rep009	2140	E	19	246266	511097.842105263	710748.6	3938352
2140 R2	restore_2km	rep009	2140	E	21	275448	406318.571428571	651075	1470083
2140 R4	restore_4km	rep009	2140	E	19	224969	272490.105263158	436516.8	756749
2140 R6	restore_6km	rep009	2140	E	16	198537.5	258986.6875	452555	664523
1900	historical	rep001	1900	SE	17	301036	1054445.76470588	1595270.4	10086544
2020	historical	rep001	2020	SE	17	246589	293949.470588235	418929.6	842633
2140 SQ	status_quo	rep001	2140	SE	29	275507	378154.517241379	767007.2	1142249
2140 R2	restore_2km	rep001	2140	SE	16	365481.5	489562.25	776221.5	1893742
2140 R4	restore_4km	rep001	2140	SE	18	254407	800548.222222222	700407	8764742
2140 R6	restore_6km	rep001	2140	SE	23	224702	326617.347826087	493396.4	866628
1900	historical	rep002	1900	SE	14	327169.5	900614	1459461.5	6333970
2020	historical	rep002	2020	SE	18	206315	389261.611111111	472325.5	2719057
2140 SQ	status_quo	rep002	2140	SE	18	318146	870797.555555556	1362825.4	7467053
2140 R2	restore_2km	rep002	2140	SE	24	296752	362961.541666667	676258.9	1183458
2140 R4	restore_4km	rep002	2140	SE	16	268488.5	278183.875	388656	521601
2140 R6	restore_6km	rep002	2140	SE	22	265144.5	497811.227272727	1366966.4	2098398
1900	historical	rep003	1900	SE	12	251700	253848.5	340548.1	368897
2020	historical	rep003	2020	SE	16	225417	263708.5625	427772.5	645269
2140 SQ	status_quo	rep003	2140	SE	20	374612	517059.3	868808.7	1578130
2140 R2	restore_2km	rep003	2140	SE	30	272369.5	305181.833333333	456329.1	1047992
2140 R4	restore_4km	rep003	2140	SE	23	236844	280177.782608696	419247.6	767743
2140 R6	restore_6km	rep003	2140	SE	17	309924	495530.823529412	674498.4	2975828
1900	historical	rep004	1900	SE	16	352358.5	660725.625	1760758	2072560
2020	historical	rep004	2020	SE	21	242133	333116.476190476	527696	1025431
2140 SQ	status_quo	rep004	2140	SE	17	296957	438378.294117647	893446.4	1475979
