scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
restore_2km	rep004	2140	NE	20	9	0.025580506331376	0.0776226349200002	0	0.55	1010415.5	461793.2	6780184	0.00185408594304941	0.00467822656497873	0.00153882514498164	0.0175093686783662	2140 R2
restore_2km	rep004	2140	W	20	14	0.0192005676806795	0.0262526875025678	0.0108172423244807	0.95	375992.047619048	313249.4	1614446	0.00597694744992263	0.00443272502065817	0.00139610442097495	0.00739479078912376	2140 R2
restore_2km	rep004	2140	E	20	12	0.0168029364738607	0.0210162934561924	0.0114083095142656	1	329118	236912.1	1204671	0.00607726721190084	0.00446572592776347	0.00314896158574588	0.0031109817484505	2140 R2
restore_2km	rep004	2140	SE	20	10	0.0160050293392758	0.0257028180623937	0.00604320234253501	0.8	365245.541666667	222263.6	1206615	0.00246017514368268	0.00586148430276048	0.00456736789526934	0.00311600199756332	2140 R2
restore_2km	rep005	2140	NW	20	10	0.0819710587803511	0.226879246657571	0.00797253779119059	0.95	2435432.91666667	1381818.2	19356374	0.00341530852658839	0.00294680617381146	0.00528808095244662	0.0703208631275047	2140 R2
restore_2km	rep005	2140	NE	13	10	0.0551055573923273	0.0885887086677293	0.0262962404583632	1.07692307692308	959091.05	906141.769230769	4370412	0.00332121500978045	0.00113748610517135	0.0127565856929805	0.037890270584395	2140 R2
restore_2km	rep005	2140	W	20	11	0.018063176529571	0.0220976920112255	0.0130241376366372	0.9	385588.954545455	259930.95	969307	0.00185372440247544	0.00907373356597953	0.00713571856111603	0	2140 R2
restore_2km	rep005	2140	E	20	12	0.0620138460743072	0.216470940496356	0.00972792057511395	0.9	1853955.375	1124087.75	18965743	0.002720153805558	0.00886020512056113	0.00145573279135302	0.0489777543568351	2140 R2
restore_2km	rep005	2140	SE	20	12	0.0290608379301926	0.0568500740183711	0.0107563485620937	1.05	426461.805555556	473691.45	3876583	0.00717401087276463	0.00367348981532456	0.00137672326377758	0.0168366139783258	2140 R2
restore_2km	rep008	2140	NW	20	14	0.0317087998304271	0.043042981596892	0.0234039416909428	1.25	521687.892857143	457466.9	2988276	0.00296049048453616	0.0084753968282252	0.00941098377824258	0.0108619287394232	2140 R2
