state	year	scenario	n_reps	mean_FROH_100kb_mean	mean_FROH_100kb_sd	mean_FROH_100kb_se	mean_n_roh_mean	mean_n_roh_sd	mean_n_roh_se	mean_roh_length_bp_mean	mean_roh_length_bp_sd	mean_roh_length_bp_se	mean_individual_max_roh_bp_mean	mean_individual_max_roh_bp_sd	mean_individual_max_roh_bp_se	max_roh_bp_observed_mean	max_roh_bp_observed_sd	max_roh_bp_observed_se	mean_FROH_100_250kb_mean	mean_FROH_100_250kb_sd	mean_FROH_100_250kb_se	mean_FROH_250_500kb_mean	mean_FROH_250_500kb_sd	mean_FROH_250_500kb_se	mean_FROH_500kb_1Mb_mean	mean_FROH_500kb_1Mb_sd	mean_FROH_500kb_1Mb_se	mean_FROH_gt1Mb_mean	mean_FROH_gt1Mb_sd	mean_FROH_gt1Mb_se
1900	1900	historical	7	0.0250788302698562	0.00951650007778067	0.00359689893679064	0.808571428571429	0.0561036455822529	0.0212051848363927	622831.892067536	316170.185291899	119501.097465082	407731.515714286	190969.883247063	72179.8312821097	4131813.2	3285858.71307774	1241937.85687121	0.00382292464292501	0.000509548473466891	0.00019259122024657	0.00450750614676158	0.000541971421731696	0.000204845942800882	0.00336221939222034	0.000741493836314104	0.00028025832708205	0.0133861800879492	0.0097674740242096	0.0036917581721917
2020	2020	historical	7	0.037221620232572	0.0114052528472584	0.00431078038195099	0.9	0.104243305140746	0.0394002658922621	899102.668526989	319437.224033024	120735.922041172	621600.77	231332.038058082	87435.2918547733	5610214.25714286	1656941.24193867	626264.923316604	0.00425515466288876	0.000410138929447523	0.000155017944329201	0.00459741095777683	0.00124343620814248	0.000469974711131163	0.00359430114070552	0.00125450888584034	0.000474159789922038	0.0247747534712009	0.0116685783726763	0.00441030807539546
2140 SQ	2140	status_quo	7	0.0378724246976099	0.00628521452882049	0.00237558779713557	1.05142857142857	0.1052661027157	0.0397868470386749	752641.543558854	159104.288559258	60135.7685788082	613652.048571429	124154.478076622	46925.9818779659	5758737.17142857	1836703.70164177	694208.746665127	0.00442609680139668	0.00080075773689166	0.000302657976032318	0.00659119499806698	0.000852526050208579	0.000322224559293724	0.00463999748603869	0.00171147755439656	0.000646877711914615	0.0222151354121075	0.00670559140331854	0.0025344753209705
2140 R2	2140	restore_2km	7	0.0333643549221475	0.0105765994592639	0.00399757884085035	1.03934065934066	0.126604439639281	0.0478519803088895	709332.660403208	256304.938668054	96874.1610733332	537091.564835165	183585.459563798	69388.7814761875	5078496.71428571	2482551.38324033	938316.225284761	0.00420304368023277	0.000500708903451377	0.000189250176824028	0.00659975124453375	0.00148620581431529	0.000561732997390928	0.00506385270522811	0.000645225541729667	0.000243872331851947	0.0174977072921529	0.0101802041432547	0.00384775549413162
2140 R4	2140	restore_4km	7	0.0268778648724102	0.00489610456840435	0.00185055358299502	0.91	0.140237893119751	0.053004941368931	606629.010515568	191791.288105749	72490.2931366504	432176.252857143	91654.7554357606	34642.2413370669	4094295.28571429	1660173.37955526	627486.556507551	0.00412579079714406	0.000546624830809191	0.000206604766110554	0.00527664217760521	0.00143050213949141	0.000540678987291444	0.00412979187075724	0.00160936771559928	0.000608283820504547	0.0133456400269036	0.00470191678337683	0.00177715749916226
2140 R6	2140	restore_6km	7	0.0315580651537876	0.00733972674635801	0.00277415595171893	0.974285714285714	0.138546880496235	0.0523657986738319	706292.830620973	93421.7692249496	35310.1097726977	521191.181428571	112649.451874693	42577.4907125968	4767502.85714286	1458160.84142027	551132.993990103	0.00437464020717957	0.000834509113354407	0.000315414797250396	0.00617490271957682	0.000721721349569624	0.000272785029549591	0.00329727777729695	0.00116178216488679	0.000439112383702956	0.0177112444497342	0.00557061848974186	0.00210549588181074
