comparison	scenario	region	n_reps	mean	sd	min	max
1900_to_2020	shared_history	E	5	-0.14352496904980194	0.4610685043904371	-0.8202915795928023	0.47903403169629044
1900_to_2020	shared_history	NE	5	-0.9854261403288245	0.2566264703070698	-1.3843936903780607	-0.6910186004807861
1900_to_2020	shared_history	NEW01	5	-0.8538766495380723	1.2804921549197144	-2.350415422005714	0.8853889475997079
1900_to_2020	shared_history	NEW02	5	-1.4507056089060222	0.2990786586613045	-1.7622917568949847	-1.0638318271480318
1900_to_2020	shared_history	NW	5	-0.13513740542621333	0.4718048144898609	-0.5346850539834191	0.6028757935464535
1900_to_2020	shared_history	SE	5	-0.28279113119636046	0.3725928744124997	-0.7257949060678226	0.2057218670395322
1900_to_2020	shared_history	W	5	-0.4133202536350855	0.4036014558015155	-0.8883991425178595	0.11265826817501434
2020_to_2140	restore_2km	E	5	-0.343774477982175	0.26175497088899646	-0.7068727395950769	-0.024926799983415737
2020_to_2140	restore_2km	NE	5	-0.24071021066053522	0.4505424759817506	-0.7576271274512325	0.26822606466525567
2020_to_2140	restore_2km	NEW01	5	-1.461306170454888	0.9695153128661014	-2.656287370590771	-0.48335587075989395
2020_to_2140	restore_2km	NEW02	4	-3.48493872833453	0.9220918526963818	-4.614107844123893	-2.5389469095701167
2020_to_2140	restore_2km	NW	5	-0.8323542930533523	0.42099723245605186	-1.3006624179634163	-0.18779874210455016
2020_to_2140	restore_2km	SE	5	-0.13526800298161	0.5471037141215702	-0.9095559313539447	0.6270685209380789
2020_to_2140	restore_2km	W	5	-0.027076927261826533	0.18306332427130523	-0.2221167246783673	0.21718589385348874
2020_to_2140	restore_4km	E	5	-0.13877438707581957	0.23592336061112318	-0.5333482194806005	0.07674287578613992
2020_to_2140	restore_4km	NE	5	0.06049860717600053	0.3322960753401743	-0.3000947317004843	0.4619408188244467
2020_to_2140	restore_4km	NEW01	5	-0.7605948754129677	1.1546044946940814	-1.5695192547216186	1.2506406387027935
2020_to_2140	restore_4km	NEW02	5	-5.5318114198063055	4.921219481714837	-14.114929749376904	-2.1850724502683216
2020_to_2140	restore_4km	NW	5	-0.59178786522184	0.7038179404636713	-1.299529336340366	0.47098882643752393
2020_to_2140	restore_4km	SE	5	0.16377843418504234	0.20674582343179593	-0.03325392154681639	0.467039901192301
2020_to_2140	restore_4km	W	5	0.011651416080105115	0.37501119804208605	-0.4616080312907944	0.4709084399816099
2020_to_2140	restore_6km	E	5	-0.12314796356391433	0.4355377660297446	-0.5402169677866442	0.5541322126521253
2020_to_2140	restore_6km	NE	5	0.4504899202752788	0.3539425727050326	-0.09451953225964038	0.7487608848441241
2020_to_2140	restore_6km	NEW01	5	-0.447431524489037	0.40578173798161676	-0.7127841619965158	0.26841465347808846
2020_to_2140	restore_6km	NEW02	5	-2.928384675401088	1.096882960760755	-4.522754003254448	-1.7724681919668472
2020_to_2140	restore_6km	NW	5	-0.45758630201109485	0.22713833582068454	-0.725307285806498	-0.15370744437042116
2020_to_2140	restore_6km	SE	5	0.19909180910170132	0.2490659577054241	-0.03342848674896537	0.5779299161223772
2020_to_2140	restore_6km	W	5	0.0563106328238927	0.11769191156046095	-0.07453544648945432	0.23728934665765422
2020_to_2140	status_quo	E	5	-0.6272745539270552	0.42990150654844234	-1.324012937913055	-0.198697642990886
2020_to_2140	status_quo	NE	5	-0.47177095612544573	0.4335022891693731	-1.0742859335815869	0.0846686134925223
2020_to_2140	status_quo	NEW01	5	-3.5116391017488313	0.9969834926520236	-4.718997088879451	-2.248271699144544
2020_to_2140	status_quo	NEW02	5	-3.4494062980556395	1.4494469875671254	-5.353772940972612	-2.079768377353297
2020_to_2140	status_quo	NW	5	-0.6003576649910247	0.38270931923768103	-1.089131310810365	-0.11957306440872895
2020_to_2140	status_quo	SE	5	-0.2881191869536437	0.5015613450914922	-0.846691408808975	0.4761718718689245
2020_to_2140	status_quo	W	5	-0.12936675295242006	0.357278198181987	-0.5369907212726455	0.2981333626208338
2140_restoration_vs_statusquo	restore_2km	E	5	0.2861035893896968	0.2912888290117256	-0.0736687721181628	0.625420851305658
2140_restoration_vs_statusquo	restore_2km	NE	5	0.23306458567167176	0.492701530637516	-0.22067172578021932	1.0505064563448796
2140_restoration_vs_statusquo	restore_2km	NEW01	5	2.1385870193105805	1.8360642894362245	-0.4173999565413866	4.445420481216611
2140_restoration_vs_statusquo	restore_2km	NEW02	4	0.21648523759161542	0.6988600514866645	-0.46893121534510307	0.8550109807161865
2140_restoration_vs_statusquo	restore_2km	NW	5	-0.23333219623293378	0.21896962399592448	-0.4803741815904261	-0.008223297423848308
2140_restoration_vs_statusquo	restore_2km	SE	5	0.15476844934529277	0.6461322722628002	-0.6916319378424407	1.0748519702735715
2140_restoration_vs_statusquo	restore_2km	W	5	0.1037950084300121	0.4986639713990769	-0.48364629351513866	0.6168271100936318
2140_restoration_vs_statusquo	restore_4km	E	5	0.49358485744519287	0.6080040790360274	-0.3353168431536102	1.2957235727172334
2140_restoration_vs_statusquo	restore_4km	NE	5	0.5361176722788175	0.5029561881868232	-0.028415275027837694	1.2182013957490634
2140_restoration_vs_statusquo	restore_4km	NEW01	5	2.8534684363727214	0.9377134112941092	1.4473217452998455	3.831889866450311
2140_restoration_vs_statusquo	restore_4km	NEW02	5	-2.158592012140985	4.895847345000871	-9.940323608765588	3.3479416868123835
2140_restoration_vs_statusquo	restore_4km	NW	5	0.009194447300513442	0.7042800924373256	-0.5218393912802433	0.8189468607767703
2140_restoration_vs_statusquo	restore_4km	SE	5	0.4548316496679172	0.44357373941478095	-0.2261548598955887	1.0088096353974452
2140_restoration_vs_statusquo	restore_4km	W	5	0.14257293254030134	0.5962001620836148	-0.7574830841216573	0.7546568382787777
2140_restoration_vs_statusquo	restore_6km	E	5	0.5092643583772127	0.7027599123067583	-0.3421992666729712	1.3411952001123773
2140_restoration_vs_statusquo	restore_6km	NE	5	0.9288925957604643	0.708731779331236	-0.1790365579808606	1.7282964150115099
2140_restoration_vs_statusquo	restore_6km	NEW01	5	3.1832262962896873	0.9858489633946479	1.7157963600858972	4.374047792250368
2140_restoration_vs_statusquo	restore_6km	NEW02	5	0.5474180213437174	0.9841754009876914	-0.33498595225218697	2.1634507616254295
2140_restoration_vs_statusquo	restore_6km	NW	5	0.14430417895904268	0.2675025843290594	-0.03417524434862207	0.6150946016103775
2140_restoration_vs_statusquo	restore_6km	SE	5	0.4906368065930389	0.5601072878843875	-0.28949576828245505	1.0254947020874372
2140_restoration_vs_statusquo	restore_6km	W	5	0.18680996544901962	0.33009317556826606	-0.13956449762769774	0.6357040516398627
