sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year	lat	lon	site_category	county	corine_1
254	Sandtorpet, Askö	OSve	3	392.7	7.63941940412529	2014/07/04	2014	27	185	6599695.22538764	583742.896397079		Södermanlands län	21.0
258	Åskärr	VGotSve	1	392.7	2.54647313470843	2011/06/29	2011	26	180	6524067.35083641	456856.033581479		Västra Götalands län	24.0
270	Granvik	OSve	1	392.7	2.54647313470843	2011/06/20	2011	25	171	6642256.32879981	713228.550622429		Uppsala län	12.0
270	Granvik	OSve	1	392.7	2.54647313470843	2011/06/29	2011	26	180	6642256.32879981	713228.550622429		Uppsala län	12.0
270	Granvik	OSve	1	392.7	2.54647313470843	2013/06/23	2013	25	174	6642256.32879981	713228.550622429		Uppsala län	12.0
270	Granvik	OSve	1	392.7	2.54647313470843	2013/06/29	2013	26	180	6642256.32879981	713228.550622429		Uppsala län	12.0
287	Fru Hammars väg 6	SGot	1	392.7	2.54647313470843	2013/07/06	2013	27	187	6175673.64242194	443648.77904404		Skåne län	2.0
287	Fru Hammars väg 6	SGot	1	392.7	2.54647313470843	2021/06/10	2021	23	161	6175673.64242194	443648.77904404		Skåne län	2.0
287	Fru Hammars väg 6	SGot	1	392.7	2.54647313470843	2021/06/26	2021	25	177	6175673.64242194	443648.77904404		Skåne län	2.0
303	Höglunda, Hacksjön	OSve	1	392.7	2.54647313470843	2022/07/01	2022	26	182	6539318.44754649	620564.46947289		Södermanlands län	21.0
307	Tjelderstrand	OGot	1	392.7	2.54647313470843	2015/07/22	2015	30	203	6392615.90881573	724706.496238684		Gotlands län	24.0
307	Tjelderstrand	OGot	1	392.7	2.54647313470843	2015/07/31	2015	31	212	6392615.90881573	724706.496238684		Gotlands län	24.0
307	Tjelderstrand	OGot	1	392.7	2.54647313470843	2021/07/14	2021	28	195	6392615.90881573	724706.496238684		Gotlands län	24.0
307	Tjelderstrand	OGot	1	392.7	2.54647313470843	2021/07/20	2021	29	201	6392615.90881573	724706.496238684		Gotlands län	24.0
311	Surklev	OGot	1	392.7	2.54647313470843	2011/06/26	2011	25	177	6446971.32019273	544420.050554979		Östergötlands län	25.0
321	Stensund	OSve	2	392.7	5.09294626941686	2011/07/09	2011	27	190	6531064.57959654	650448.882875999		Södermanlands län	12.0
322	Norra Askö	OSve	2	392.7	5.09294626941686	2014/06/06	2014	23	157	6523694.68359189	652168.385656987		Södermanlands län	24.0
326	Järbo Berg 6	VGotSve	1	392.7	2.54647313470843	2024/06/21	2024	25	173	6513223.30162578	330171.714178311		Västra Götalands län	12.0
331	Kalkvägen Ö Jonstorpsmossen Ringvägen Hunneberg	VGotSve	1	392.7	2.54647313470843	2014/06/24	2014	26	175	6467007.92255942	354430.987486635		Västra Götalands län	24.0
331	Kalkvägen Ö Jonstorpsmossen Ringvägen Hunneberg	VGotSve	1	392.7	2.54647313470843	2015/06/26	2015	26	177	6467007.92255942	354430.987486635		Västra Götalands län	24.0
331	Kalkvägen Ö Jonstorpsmossen Ringvägen Hunneberg	VGotSve	1	392.7	2.54647313470843	2015/07/11	2015	28	192	6467007.92255942	354430.987486635		Västra Götalands län	24.0
331	Kalkvägen Ö Jonstorpsmossen Ringvägen Hunneberg	VGotSve	1	392.7	2.54647313470843	2017/06/28	2017	26	179	6467007.92255942	354430.987486635		Västra Götalands län	24.0
332	Mötesplats virkesupplag Hunneberg	VGotSve	2	392.7	5.09294626941686	2011/06/25	2011	25	176	6468548.7782541	354570.43619408		Västra Götalands län	24.0
332	Mötesplats virkesupplag Hunneberg	VGotSve	1	392.7	2.54647313470843	2011/07/13	2011	28	194	6468548.7782541	354570.43619408		Västra Götalands län	24.0
332	Mötesplats virkesupplag Hunneberg	VGotSve	1	392.7	2.54647313470843	2013/07/06	2013	27	187	6468548.7782541	354570.43619408		Västra Götalands län	24.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2011/07/07	2011	27	188	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2013/06/19	2013	25	170	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2013/06/24	2013	26	175	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2014/07/17	2014	29	198	6616750.71366051	559138.626284461		Västmanlands län	25.0
349	Furnäs	OSve	1	392.7	2.54647313470843	2015/06/28	2015	26	179	6616750.71366051	559138.626284461		Västmanlands län	25.0
