sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
63	5000	7805	0.35515695067264574	0.44010249839846255	0.0037155669442664957	0.19654067905188982	0.004484304932735426	7835	0.99617102744097
63	10000	25532	0.3435688547704841	0.49275419081936395	0.020993263355788813	0.1379053736487545	0.004778317405608648	31310	0.815458320025551
66	500	78	0.4230769230769231	0	0.5769230769230769	0	0	78	1
66	1000	312	0.40384615384615385	0	0.5961538461538461	0	0	312	1
66	2000	1254	0.44896331738437	0	0.511164274322169	0.03987240829346093	0	1254	1
66	5000	7816	0.6668372569089048	0.01087512794268168	0.30335209825997955	0.018935516888433982	0	7816	1
66	10000	31304	0.7730960899565551	0.03395732174801942	0.16013927932532585	0.03280730897009967	0	31304	1
67	500	78	0	0	0.6923076923076923	0.3076923076923077	0	78	1
67	1000	316	0.3037974683544304	0.08544303797468354	0.30063291139240506	0.310126582278481	0	316	1
67	2000	1254	0.7623604465709729	0.02631578947368421	0.1251993620414673	0.0861244019138756	0	1254	1
67	5000	7828	0.727005620848237	0.021078180889115995	0.22828308635666836	0.023633111905978537	0	7828	1
67	10000	31307	0.7626090011818443	0.03634969815057335	0.1514357811352094	0.04960551953237295	0	31307	1
69	500	78	1	0	0	0	0	78	1
69	1000	314	1	0	0	0	0	314	1
69	2000	1258	0.9459459459459459	0.023052464228934817	0	0.031001589825119236	0	1258	1
69	5000	7832	0.901046986721144	0.06396833503575076	0.0034473953013278856	0.030515832482124618	0.0010214504596527069	7832	1
69	10000	31327	0.7884572413572957	0.14192230344431322	0.020589268043540717	0.04590289526606442	0.0031282918887860314	31327	1
70	500	78	0.038461538461538464	0.782051282051282	0	0.1794871794871795	0	78	1
70	1000	316	0.06329113924050633	0.7974683544303798	0	0.11708860759493671	0.022151898734177215	316	1
70	2000	1252	0.04712460063897764	0.6533546325878594	0	0.1501597444089457	0.14936102236421725	1252	1
70	5000	7827	0.12316340871342787	0.69617989012393	0.022997316979685704	0.0620927558451514	0.09556662833780503	7827	1
70	10000	31309	0.307387652112811	0.5668338177520841	0.03439905458494363	0.04564182822830496	0.04573764732185633	31309	1
71	500	81	0	0	1	0	0	81	1
71	1000	311	0.03536977491961415	0	0.9131832797427653	0.05144694533762058	0	316	0.9841772151898734
71	2000	1037	0.35294117647058826	0	0.5920925747348119	0.054966248794599805	0	1254	0.8269537480063796
71	5000	4537	0.5968701785320697	0	0.26845933436191316	0.12585408860480493	0.008816398501212255	7831	0.5793640658919679
72	500	74	0	0.9054054054054054	0	0.0945945945945946	0	74	1
72	1000	309	0.08090614886731391	0.6666666666666666	0	0.2524271844660194	0	309	1
72	2000	1244	0.2572347266881029	0.5659163987138264	0	0.17684887459807075	0	1244	1
72	5000	7811	0.3669184483420817	0.5402637306362822	0.042888234541031876	0.04992958648060428	0	7811	1
72	10000	31277	0.540748793042811	0.33865140518591935	0.08386354189979857	0.035233558205710266	0.0015027016657607826	31277	1
73	500	78	0.08974358974358974	0.9102564102564102	0	0	0	78	1
73	1000	311	0.24758842443729903	0.752411575562701	0	0	0	311	1
73	2000	1252	0.4145367412140575	0.5654952076677316	0.019968051118210862	0	0	1252	1
73	5000	7818	0.43438219493476593	0.5135584548477872	0.041570734203121004	0.010488616014325915	0	7818	1
73	10000	31294	0.42688694318399695	0.49495110883875504	0.022751965232952004	0.04508851537035854	0.010321467373937496	31294	1
74	500	80	1	0	0	0	0	80	1
74	1000	315	0.946031746031746	0.022222222222222223	0.031746031746031744	0	0	315	1
74	2000	1256	0.5979299363057324	0.2340764331210191	0.11624203821656051	0.0517515923566879	0	1256	1
74	5000	7835	0.20791320995532867	0.6322910019144863	0.08998085513720484	0.06573069559668156	0.00408423739629866	7835	1
