sit_uid	sit_name	segment_number	seg_uid	reg_code	geo_uid	sum	count_per_1000m	date	year	week	day_of_year	segment_length	corine_1
37	Lammakulla Mellangård	5	66	OGot	2505	1	7.30478704508721	2018-06-16	2018	24	167	136.896530155871	18.0
37	Lammakulla Mellangård	5	66	OGot	2505	1	7.30478704508721	2022-06-22	2022	25	173	136.896530155871	18.0
37	Lammakulla Mellangård	6	65	OGot	2509	1	5.90679669025258	2013-06-24	2013	26	175	169.296499006002	18.0
37	Lammakulla Mellangård	6	65	OGot	2509	3	17.7203900707578	2016-06-20	2016	25	172	169.296499006002	18.0
37	Lammakulla Mellangård	7	64	OGot	2510	1	3.47693105249117	2010-07-04	2010	26	185	287.609959732597	18.0
37	Lammakulla Mellangård	7	64	OGot	2510	1	3.47693105249117	2014-06-08	2014	23	159	287.609959732597	18.0
37	Lammakulla Mellangård	7	64	OGot	2510	1	3.47693105249117	2015-07-01	2015	27	182	287.609959732597	18.0
37	Lammakulla Mellangård	7	64	OGot	2510	1	3.47693105249117	2016-06-20	2016	25	172	287.609959732597	18.0
37	Lammakulla Mellangård	7	64	OGot	2510	2	6.95386210498233	2017-06-28	2017	26	179	287.609959732597	18.0
37	Lammakulla Mellangård	7	64	OGot	2510	1	3.47693105249117	2019-05-31	2019	22	151	287.609959732597	18.0
37	Lammakulla Mellangård	8	63	OGot	2511	1	10.9270357938471	2015-07-01	2015	27	182	91.5161274170154	18.0
37	Lammakulla Mellangård	8	63	OGot	2511	2	21.8540715876942	2016-06-20	2016	25	172	91.5161274170154	18.0
37	Lammakulla Mellangård	8	63	OGot	2511	2	21.8540715876942	2017-06-28	2017	26	179	91.5161274170154	18.0
37	Lammakulla Mellangård	8	63	OGot	2511	2	21.8540715876942	2017-07-06	2017	27	187	91.5161274170154	18.0
37	Lammakulla Mellangård	8	63	OGot	2511	5	54.6351789692355	2018-06-03	2018	22	154	91.5161274170154	18.0
37	Lammakulla Mellangård	8	63	OGot	2511	1	10.9270357938471	2018-06-16	2018	24	167	91.5161274170154	18.0
37	Lammakulla Mellangård	9	62	OGot	2512	2	14.9191550227114	2014-06-08	2014	23	159	134.055849473741	24.0
37	Lammakulla Mellangård	9	62	OGot	2512	3	22.3787325340671	2016-06-20	2016	25	172	134.055849473741	24.0
37	Lammakulla Mellangård	9	62	OGot	2512	1	7.45957751135568	2017-07-06	2017	27	187	134.055849473741	24.0
37	Lammakulla Mellangård	9	62	OGot	2512	2	14.9191550227114	2018-06-03	2018	22	154	134.055849473741	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	1	4.31493520519574	2013-06-11	2013	24	162	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	2	8.62987041039148	2013-06-15	2013	24	166	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	2	8.62987041039148	2013-06-24	2013	26	175	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	2	8.62987041039148	2014-06-08	2014	23	159	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	1	4.31493520519574	2015-07-16	2015	29	197	231.753190359816	24.0
37	Lammakulla Mellangård	10	61	OGot	2513	3	12.9448056155872	2016-06-20	2016	25	172	231.753190359816	24.0
