sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect	lat	lon	site_category	county	corine_1
56	Mallgårds Klint	OGot	1	0.467563505363903	2014/06/27	2014	26	178	2138.74690502567	6357784.6016961	698416.157507787	True	Gotlands län	24.0
56	Mallgårds Klint	OGot	1	0.467563505363903	2016/06/20	2016	25	172	2138.74690502567	6357784.6016961	698416.157507787	True	Gotlands län	24.0
57	Russparkens vinterhage	OGot	10	3.79047125337472	2022/06/04	2022	22	155	2638.1943910264	6357439.83544775	700793.943593631	True	Gotlands län	24.0
61	Svalsjö	OGot	9	2.70139383068869	2010/06/24	2010	25	175	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	5	1.50077435038261	2011/06/26	2011	25	177	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	6	1.80092922045913	2011/07/09	2011	27	190	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	2	0.600309740153043	2012/06/13	2012	24	165	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	5	1.50077435038261	2012/07/24	2012	30	206	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	6	1.80092922045913	2013/06/20	2013	25	171	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	1	0.300154870076521	2013/07/13	2013	28	194	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
61	Svalsjö	OGot	5	1.50077435038261	2014/07/17	2014	29	198	3331.6134425707	6430712.86714821	525032.578622796	True	Östergötlands län	24.0
63	Trunelän, Maglehem	SGot	7	4.04742182187678	2010/07/03	2010	26	184	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	3	1.73460935223291	2010/07/14	2010	28	195	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	5	2.89101558705485	2011/06/27	2011	26	178	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2012/07/24	2012	30	206	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2012/08/03	2012	31	216	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	6	3.46921870446581	2013/06/07	2013	23	158	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	6	3.46921870446581	2013/07/07	2013	27	188	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2013/07/15	2013	29	196	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	12	6.93843740893163	2014/07/04	2014	27	185	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2014/07/19	2014	29	200	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	5	2.89101558705485	2015/06/29	2015	27	180	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	2	1.15640623482194	2015/07/07	2015	28	188	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	4	2.31281246964388	2015/07/14	2015	29	195	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	3	1.73460935223291	2016/07/01	2016	26	183	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2016/07/07	2016	27	189	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	11	6.36023429152066	2017/06/27	2017	26	178	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	13	7.5166405263426	2017/07/06	2017	27	187	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2017/07/19	2017	29	200	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	2	1.15640623482194	2017/07/31	2017	31	212	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	10	5.78203117410969	2018/06/08	2018	23	159	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	2	1.15640623482194	2020/06/25	2020	26	177	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	2	1.15640623482194	2022/06/21	2022	25	172	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	6	3.46921870446581	2022/07/12	2022	28	193	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
63	Trunelän, Maglehem	SGot	18	10.4076561133974	2023/06/08	2023	23	159	1729.49603675213	6181324.3380112	444952.437453613	True	Skåne län	23.0
74	Snogehall	SGot	1	0.541952266288702	2018/06/15	2018	24	166	1845.18095449257	6201322.56108703	407926.372836163	True	Skåne län	12.0
76	Linjevägen pkt 13 - slinga	SGot	1	1.38976264830915	2011/06/28	2011	26	179	719.547327895626	6245227.63834264	496757.020750042	True	Blekinge län	24.0
76	Linjevägen pkt 13 - slinga	SGot	1	1.38976264830915	2012/06/21	2012	25	173	719.547327895626	6245227.63834264	496757.020750042	True	Blekinge län	24.0
76	Linjevägen pkt 13 - slinga	SGot	1	1.38976264830915	2013/07/07	2013	27	188	719.547327895626	6245227.63834264	496757.020750042	True	Blekinge län	24.0
76	Linjevägen pkt 13 - slinga	SGot	1	1.38976264830915	2014/07/22	2014	30	203	719.547327895626	6245227.63834264	496757.020750042	True	Blekinge län	24.0
107	Hällen, Angelbos	OGot	5	2.8137287880037	2013/06/21	2013	25	172	1777.00140159828	6413241.37892996	724664.847891691	True	Gotlands län	24.0
107	Hällen, Angelbos	OGot	2	1.12549151520148	2013/07/20	2013	29	201	1777.00140159828	6413241.37892996	724664.847891691	True	Gotlands län	24.0
107	Hällen, Angelbos	OGot	2	1.12549151520148	2013/07/21	2013	29	202	1777.00140159828	6413241.37892996	724664.847891691	True	Gotlands län	24.0
110	Nymans Fröjel - slinga	OGot	2	1.38663954099241	2010/06/25	2010	25	176	1442.33590697162	6359584.75266785	691448.735552738	True	Gotlands län	21.0
110	Nymans Fröjel - slinga	OGot	6	4.15991862297724	2011/06/05	2011	22	156	1442.33590697162	6359584.75266785	691448.735552738	True	Gotlands län	21.0
110	Nymans Fröjel - slinga	OGot	3	2.07995931148862	2011/06/29	2011	26	180	1442.33590697162	6359584.75266785	691448.735552738	True	Gotlands län	21.0
110	Nymans Fröjel - slinga	OGot	1	0.693319770496206	2013/07/18	2013	29	199	1442.33590697162	6359584.75266785	691448.735552738	True	Gotlands län	21.0
110	Nymans Fröjel - slinga	OGot	1	0.693319770496206	2016/06/02	2016	22	154	1442.33590697162	6359584.75266785	691448.735552738	True	Gotlands län	21.0
111	Slite motionsslinga	OGot	3	2.013137589202	2010/06/21	2010	25	172	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	5	3.35522931533666	2010/07/02	2010	26	183	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2011/07/07	2011	27	188	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2011/07/30	2011	30	211	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2012/07/04	2012	27	186	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2013/06/21	2013	25	172	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	2	1.34209172613466	2013/07/07	2013	27	188	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	2	1.34209172613466	2014/07/08	2014	28	189	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	4	2.68418345226933	2015/06/21	2015	25	172	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	2	1.34209172613466	2015/07/12	2015	28	193	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2016/07/01	2016	26	183	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2016/07/07	2016	27	189	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	4	2.68418345226933	2016/07/17	2016	28	199	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2017/07/14	2017	28	195	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
111	Slite motionsslinga	OGot	1	0.671045863067332	2019/07/13	2019	28	194	1490.21110931081	6402116.5126366	725843.293614082	True	Gotlands län	2.0
113	Grostädeviken	OGot	1	0.641471530866612	2010/07/11	2010	27	192	1558.91563675324	6426534.02103942	731111.648068844	True	Gotlands län	18.0
123	Nyckleby Övergård 3	VGotSve	4	1.65055731365588	2010/07/01	2010	26	182	2423.42387441261	6450209.97621479	341161.39547024	True	Västra Götalands län	12.0
123	Nyckleby Övergård 3	VGotSve	14	5.77695059779558	2011/06/16	2011	24	167	2423.42387441261	6450209.97621479	341161.39547024	True	Västra Götalands län	12.0
123	Nyckleby Övergård 3	VGotSve	5	2.06319664206985	2011/07/01	2011	26	182	2423.42387441261	6450209.97621479	341161.39547024	True	Västra Götalands län	12.0
123	Nyckleby Övergård 3	VGotSve	12	4.95167194096764	2014/07/07	2014	28	188	2423.42387441261	6450209.97621479	341161.39547024	True	Västra Götalands län	12.0
123	Nyckleby Övergård 3	VGotSve	1	0.41263932841397	2019/06/15	2019	24	166	2423.42387441261	6450209.97621479	341161.39547024	True	Västra Götalands län	12.0
124	Öventorp, Kvarnängen	VGotSve	2	1.25329507302721	2011/07/05	2011	27	186	1595.79339538071	6456379.6818279	345425.189950277	True	Västra Götalands län	12.0
124	Öventorp, Kvarnängen	VGotSve	1	0.626647536513603	2015/06/20	2015	25	171	1595.79339538071	6456379.6818279	345425.189950277	True	Västra Götalands län	12.0
124	Öventorp, Kvarnängen	VGotSve	1	0.626647536513603	2016/06/25	2016	25	177	1595.79339538071	6456379.6818279	345425.189950277	True	Västra Götalands län	12.0
132	Åsnatorp, Närke	OSve	1	0.881229519041322	2011/06/30	2011	26	181	1134.77814620632	6524147.89155961	486031.612242612	True	Örebro län	21.0
132	Åsnatorp, Närke	OSve	1	0.881229519041322	2011/08/03	2011	31	215	1134.77814620632	6524147.89155961	486031.612242612	True	Örebro län	21.0
132	Åsnatorp, Närke	OSve	1	0.881229519041322	2022/07/06	2022	27	187	1134.77814620632	6524147.89155961	486031.612242612	True	Örebro län	21.0
132	Åsnatorp, Närke	OSve	2	1.76245903808264	2023/06/11	2023	23	162	1134.77814620632	6524147.89155961	486031.612242612	True	Örebro län	21.0
138	Almsjöslingan 2	OSve	1	0.226674118009216	2011/06/09	2011	23	160	4411.61968019366	6563336.82295999	634847.282730261	True	Stockholms län	24.0
140	Nackareservatet	OSve	1	0.485813954623835	2020/06/22	2020	26	174	2058.40114406408	6574100.21354608	679918.888081152	True	Stockholms län	24.0
140	Nackareservatet	OSve	1	0.485813954623835	2021/06/21	2021	25	172	2058.40114406408	6574100.21354608	679918.888081152	True	Stockholms län	24.0
140	Nackareservatet	OSve	1	0.485813954623835	2023/06/12	2023	24	163	2058.40114406408	6574100.21354608	679918.888081152	True	Stockholms län	24.0
140	Nackareservatet	OSve	2	0.971627909247671	2023/06/28	2023	26	179	2058.40114406408	6574100.21354608	679918.888081152	True	Stockholms län	24.0
141	Lillängen	OSve	1	0.531681259066182	2010/06/17	2010	24	168	1880.82612081597	6568441.14591035	670087.963653341	True	Stockholms län	18.0
141	Lillängen	OSve	3	1.59504377719855	2014/07/06	2014	27	187	1880.82612081597	6568441.14591035	670087.963653341	True	Stockholms län	18.0
143	Tumstocksfabriken/Mellösaverken	OSve	2	1.87820004914163	2010/06/13	2010	23	164	1064.84929595973	6551543.4949546	590411.107420863	True	Södermanlands län	2.0
144	Nåsten - Fjärilsstigen	OSve	11	8.13250424728089	2010/06/27	2010	25	178	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	1	0.739318567934626	2010/07/13	2010	28	194	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	18	13.3077342228233	2011/06/27	2011	26	178	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	1	0.739318567934626	2011/07/09	2011	27	190	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	5	3.69659283967313	2016/06/29	2016	26	181	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	1	0.739318567934626	2017/06/23	2017	25	174	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	1	0.739318567934626	2017/06/23	2017	25	174	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	2	1.47863713586925	2017/07/01	2017	26	182	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
144	Nåsten - Fjärilsstigen	OSve	5	3.69659283967313	2017/07/01	2017	26	182	1352.59689580585	6634990.34981292	642516.339827994	True	Uppsala län	24.0
