year	code	cells	hilda_label	model_class	suitability	area_km2
1953	77	1534	Water	Unsuitable	0	1882.0024403999664
1954	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1954	11	926	Urban	Urban	0.1	1136.0718773209708
1954	22	10173	Cropland	Cropland	0.5	12480.841477306949
1954	33	329	Pasture / rangeland	Grassland	1	403.6367685082066
1954	44	32619	Forest	Forest	0.3	40018.92933729238
1954	55	1237	Unmanaged grass / shrubland	Grassland	1	1517.625175211707
1954	66	7	Sparse / no vegetation	Unsuitable	0	8.588016351238439
1954	77	1534	Water	Unsuitable	0	1882.0024403999664
1955	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1955	11	931	Urban	Urban	0.1	1142.2061747147125
1955	22	10175	Cropland	Cropland	0.5	12483.295196264446
1955	33	309	Pasture / rangeland	Grassland	1	379.0995789332397
1955	44	32634	Forest	Forest	0.3	40037.332229473606
1955	55	1235	Unmanaged grass / shrubland	Grassland	1	1515.1714562542104
1955	66	7	Sparse / no vegetation	Unsuitable	0	8.588016351238439
1955	77	1534	Water	Unsuitable	0	1882.0024403999664
1956	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1956	11	938	Urban	Urban	0.1	1150.7941910659508
1956	22	10163	Cropland	Cropland	0.5	12468.572882519466
1956	33	314	Pasture / rangeland	Grassland	1	385.23387632698143
1956	44	32624	Forest	Forest	0.3	40025.06363468612
1956	55	1246	Unmanaged grass / shrubland	Grassland	1	1528.6669105204421
1956	66	6	Sparse / no vegetation	Unsuitable	0	7.36115687249009
1956	77	1534	Water	Unsuitable	0	1882.0024403999664
1957	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1957	11	940	Urban	Urban	0.1	1153.2479100234475
1957	22	10167	Cropland	Cropland	0.5	12473.480320434459
1957	33	290	Pasture / rangeland	Grassland	1	355.78924883702103
1957	44	32643	Forest	Forest	0.3	40048.37396478234
1957	55	1245	Unmanaged grass / shrubland	Grassland	1	1527.4400510416938
1957	66	6	Sparse / no vegetation	Unsuitable	0	7.36115687249009
1957	77	1534	Water	Unsuitable	0	1882.0024403999664
1958	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1958	11	943	Urban	Urban	0.1	1156.9284884596925
1958	22	10171	Cropland	Cropland	0.5	12478.387758349452
1958	33	268	Pasture / rangeland	Grassland	1	328.79834030455737
1958	44	32657	Forest	Forest	0.3	40065.54999748481
1958	55	1246	Unmanaged grass / shrubland	Grassland	1	1528.6669105204421
1958	66	6	Sparse / no vegetation	Unsuitable	0	7.36115687249009
1958	77	1534	Water	Unsuitable	0	1882.0024403999664
1959	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1959	11	953	Urban	Urban	0.1	1169.1970832471761
1959	22	9855	Cropland	Cropland	0.5	12090.700163064974
1959	33	250	Pasture / rangeland	Grassland	1	306.7148696870871
1959	44	32983	Forest	Forest	0.3	40465.50618755678
1959	55	1242	Unmanaged grass / shrubland	Grassland	1	1523.7594726054488
1959	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1959	77	1534	Water	Unsuitable	0	1882.0024403999664
1960	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1960	11	959	Urban	Urban	0.1	1176.5582401196662
1960	22	9291	Cropland	Cropland	0.5	11398.751417050906
1960	33	231	Pasture / rangeland	Grassland	1	283.40453959086847
1960	44	33292	Forest	Forest	0.3	40844.605766490015
1960	55	1506	Unmanaged grass / shrubland	Grassland	1	1847.6503749950127
1960	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1960	77	1534	Water	Unsuitable	0	1882.0024403999664
1961	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1961	11	969	Urban	Urban	0.1	1188.8268349071495
1961	22	9166	Cropland	Cropland	0.5	11245.393982207363
1961	33	229	Pasture / rangeland	Grassland	1	280.9508206333718
1961	44	33426	Forest	Forest	0.3	41009.0049366423
1961	55	1489	Unmanaged grass / shrubland	Grassland	1	1826.7937638562908
1961	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1961	77	1534	Water	Unsuitable	0	1882.0024403999664
1962	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1962	11	975	Urban	Urban	0.1	1196.1879917796398
1962	22	8999	Cropland	Cropland	0.5	11040.508449256387
1962	33	225	Pasture / rangeland	Grassland	1	276.0433827183784
1962	44	33589	Forest	Forest	0.3	41208.983031678275
1962	55	1491	Unmanaged grass / shrubland	Grassland	1	1829.2474828137874
1962	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1962	77	1534	Water	Unsuitable	0	1882.0024403999664
1963	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1963	11	984	Urban	Urban	0.1	1207.2297270883748
1963	22	8569	Cropland	Cropland	0.5	10512.958873394598
1963	33	226	Pasture / rangeland	Grassland	1	277.2702421971267
1963	44	33872	Forest	Forest	0.3	41556.18426416406
1963	55	1628	Unmanaged grass / shrubland	Grassland	1	1997.3272314023113
1963	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1963	77	1534	Water	Unsuitable	0	1882.0024403999664
1964	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1964	11	990	Urban	Urban	0.1	1214.5908839608649
1964	22	8489	Cropland	Cropland	0.5	10414.81011509473
1964	33	222	Pasture / rangeland	Grassland	1	272.36280428213337
1964	44	33991	Forest	Forest	0.3	41702.18054213511
1964	55	1587	Unmanaged grass / shrubland	Grassland	1	1947.025992773629
1964	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1964	77	1534	Water	Unsuitable	0	1882.0024403999664
1965	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1965	11	1008	Urban	Urban	0.1	1236.6743545783352
1965	22	8194	Cropland	Cropland	0.5	10052.886568863967
1965	33	220	Pasture / rangeland	Grassland	1	269.90908532463664
1965	44	34268	Forest	Forest	0.3	42042.02061774841
1965	55	1589	Unmanaged grass / shrubland	Grassland	1	1949.4797117311257
1965	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1965	77	1534	Water	Unsuitable	0	1882.0024403999664
1966	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1966	11	1025	Urban	Urban	0.1	1257.5309657170571
1966	22	8053	Cropland	Cropland	0.5	9879.89938236045
1966	33	217	Pasture / rangeland	Grassland	1	266.2285068883916
1966	44	34425	Forest	Forest	0.3	42234.6375559119
1966	55	1560	Unmanaged grass / shrubland	Grassland	1	1913.9007868474237
1966	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1966	77	1534	Water	Unsuitable	0	1882.0024403999664
1967	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1967	11	1046	Urban	Urban	0.1	1283.2950147707725
1967	22	8026	Cropland	Cropland	0.5	9846.774176434245
1967	33	216	Pasture / rangeland	Grassland	1	265.0016474096433
1967	44	34534	Forest	Forest	0.3	42368.36523909547
1967	55	1458	Unmanaged grass / shrubland	Grassland	1	1788.761120015092
1967	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1967	77	1534	Water	Unsuitable	0	1882.0024403999664
1968	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1968	11	1064	Urban	Urban	0.1	1305.3784853882428
1968	22	7862	Cropland	Cropland	0.5	9645.569221919515
1968	33	215	Pasture / rangeland	Grassland	1	263.7747879308949
1968	44	34734	Forest	Forest	0.3	42613.737134845134
1968	55	1406	Unmanaged grass / shrubland	Grassland	1	1724.964427120178
1968	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1968	77	1534	Water	Unsuitable	0	1882.0024403999664
1969	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1969	11	1085	Urban	Urban	0.1	1331.142534441958
1969	22	8000	Cropland	Cropland	0.5	9814.875829986788
1969	33	215	Pasture / rangeland	Grassland	1	263.7747879308949
1969	44	34789	Forest	Forest	0.3	42681.214406176296
1969	55	1192	Unmanaged grass / shrubland	Grassland	1	1462.4164986680314
1969	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1969	77	1534	Water	Unsuitable	0	1882.0024403999664
1970	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1970	11	1098	Urban	Urban	0.1	1347.0917076656865
1970	22	7999	Cropland	Cropland	0.5	9813.648970508038
1970	33	216	Pasture / rangeland	Grassland	1	265.0016474096433
1970	44	34868	Forest	Forest	0.3	42778.13630499742
1970	55	1100	Unmanaged grass / shrubland	Grassland	1	1349.5454266231832
1970	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1970	77	1534	Water	Unsuitable	0	1882.0024403999664
1971	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1971	11	1106	Urban	Urban	0.1	1356.9065834956734
1971	22	7999	Cropland	Cropland	0.5	9813.648970508038
1971	33	215	Pasture / rangeland	Grassland	1	263.7747879308949
1971	44	34928	Forest	Forest	0.3	42851.747873722314
1971	55	1033	Unmanaged grass / shrubland	Grassland	1	1267.3458415470438
1971	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1971	77	1534	Water	Unsuitable	0	1882.0024403999664
1972	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1972	11	1115	Urban	Urban	0.1	1367.9483188044085
1972	22	7986	Cropland	Cropland	0.5	9797.699797284311
1972	33	211	Pasture / rangeland	Grassland	1	258.86735001590154
1972	44	34986	Forest	Forest	0.3	42922.90572348972
1972	55	983	Unmanaged grass / shrubland	Grassland	1	1206.0028676096265
1972	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1972	77	1534	Water	Unsuitable	0	1882.0024403999664
1973	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1973	11	1122	Urban	Urban	0.1	1376.5363351556468
1973	22	7971	Cropland	Cropland	0.5	9779.296905103085
1973	33	209	Pasture / rangeland	Grassland	1	256.4136310584048
1973	44	35065	Forest	Forest	0.3	43019.82762231084
1973	55	914	Unmanaged grass / shrubland	Grassland	1	1121.3495635759905
1973	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1973	77	1534	Water	Unsuitable	0	1882.0024403999664
1974	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1974	11	1123	Urban	Urban	0.1	1377.7631946343954
1974	22	7988	Cropland	Cropland	0.5	9800.153516241808
1974	33	215	Pasture / rangeland	Grassland	1	263.7747879308949
1974	44	35113	Forest	Forest	0.3	43078.71687729076
1974	55	842	Unmanaged grass / shrubland	Grassland	1	1033.0156811061095
1974	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1974	77	1534	Water	Unsuitable	0	1882.0024403999664
1975	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1975	11	1126	Urban	Urban	0.1	1381.4437730706404
1975	22	7974	Cropland	Cropland	0.5	9782.977483539331
1975	33	217	Pasture / rangeland	Grassland	1	266.2285068883916
1975	44	35190	Forest	Forest	0.3	43173.185057154384
1975	55	774	Unmanaged grass / shrubland	Grassland	1	949.5892365512217
1975	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1975	77	1534	Water	Unsuitable	0	1882.0024403999664
1976	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1976	11	1132	Urban	Urban	0.1	1388.8049299431304
1976	22	7971	Cropland	Cropland	0.5	9779.296905103085
1976	33	227	Pasture / rangeland	Grassland	1	278.4971016758751
1976	44	35238	Forest	Forest	0.3	43232.074312134304
1976	55	714	Unmanaged grass / shrubland	Grassland	1	875.9776678263208
1976	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1976	77	1534	Water	Unsuitable	0	1882.0024403999664
1977	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1977	11	1135	Urban	Urban	0.1	1392.4855083793755
1977	22	7955	Cropland	Cropland	0.5	9759.667153443112
1977	33	226	Pasture / rangeland	Grassland	1	277.2702421971267
1977	44	35300	Forest	Forest	0.3	43308.1395998167
1977	55	666	Unmanaged grass / shrubland	Grassland	1	817.0884128464
1977	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1977	77	1534	Water	Unsuitable	0	1882.0024403999664
1978	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1978	11	1138	Urban	Urban	0.1	1396.1660868156205
1978	22	7996	Cropland	Cropland	0.5	9809.968392071794
1978	33	224	Pasture / rangeland	Grassland	1	274.81652323963004
1978	44	35332	Forest	Forest	0.3	43347.399103136646
1978	55	593	Unmanaged grass / shrubland	Grassland	1	727.5276708977706
1978	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1978	77	1534	Water	Unsuitable	0	1882.0024403999664
1979	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1979	11	1140	Urban	Urban	0.1	1398.6198057731172
1979	22	7976	Cropland	Cropland	0.5	9785.431202496828
1979	33	227	Pasture / rangeland	Grassland	1	278.4971016758751
1979	44	35431	Forest	Forest	0.3	43468.85819153273
1979	55	509	Unmanaged grass / shrubland	Grassland	1	624.4714746829094
1979	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1979	77	1534	Water	Unsuitable	0	1882.0024403999664
1980	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1980	11	1140	Urban	Urban	0.1	1398.6198057731172
1980	22	7980	Cropland	Cropland	0.5	9790.338640411821
1980	33	223	Pasture / rangeland	Grassland	1	273.5896637608817
1980	44	35499	Forest	Forest	0.3	43552.28463608762
1980	55	441	Unmanaged grass / shrubland	Grassland	1	541.0450301280216
1980	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1980	77	1534	Water	Unsuitable	0	1882.0024403999664
1981	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1981	11	1143	Urban	Urban	0.1	1402.3003842093622
1981	22	7950	Cropland	Cropland	0.5	9753.53285604937
1981	33	200	Pasture / rangeland	Grassland	1	245.37189574966968
1981	44	35586	Forest	Forest	0.3	43659.02141073873
1981	55	404	Unmanaged grass / shrubland	Grassland	1	495.65122941433276
1981	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1981	77	1534	Water	Unsuitable	0	1882.0024403999664
1982	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1982	11	1143	Urban	Urban	0.1	1402.3003842093622
1982	22	7941	Cropland	Cropland	0.5	9742.491120740635
1982	33	201	Pasture / rangeland	Grassland	1	246.59875522841804
1982	44	35631	Forest	Forest	0.3	43714.230087282405
1982	55	367	Unmanaged grass / shrubland	Grassland	1	450.25742870064386
1982	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1982	77	1534	Water	Unsuitable	0	1882.0024403999664
1983	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1983	11	1143	Urban	Urban	0.1	1402.3003842093622
1983	22	7935	Cropland	Cropland	0.5	9735.129963868145
1983	33	187	Pasture / rangeland	Grassland	1	229.42272252594117
1983	44	35661	Forest	Forest	0.3	43751.03587164485
1983	55	355	Unmanaged grass / shrubland	Grassland	1	435.5351149556637
1983	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1983	77	1534	Water	Unsuitable	0	1882.0024403999664
1984	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1984	11	1145	Urban	Urban	0.1	1404.754103166859
1984	22	7929	Cropland	Cropland	0.5	9727.768806995655
1984	33	174	Pasture / rangeland	Grassland	1	213.47354930221263
1984	44	35699	Forest	Forest	0.3	43797.65653183729
1984	55	334	Unmanaged grass / shrubland	Grassland	1	409.77106590194836
1984	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1984	77	1534	Water	Unsuitable	0	1882.0024403999664
1985	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1985	11	1146	Urban	Urban	0.1	1405.9809626456074
1985	22	7918	Cropland	Cropland	0.5	9714.273352729422
1985	33	158	Pasture / rangeland	Grassland	1	193.84379764223905
1985	44	35729	Forest	Forest	0.3	43834.462316199744
1985	55	331	Unmanaged grass / shrubland	Grassland	1	406.09048746570335
1985	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1985	77	1534	Water	Unsuitable	0	1882.0024403999664
1986	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1986	11	1152	Urban	Urban	0.1	1413.3421195180974
1986	22	7923	Cropland	Cropland	0.5	9720.407650123165
1986	33	157	Pasture / rangeland	Grassland	1	192.61693816349072
1986	44	35693	Forest	Forest	0.3	43790.2953749648
1986	55	357	Unmanaged grass / shrubland	Grassland	1	437.9888339131604
1986	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1986	77	1534	Water	Unsuitable	0	1882.0024403999664
1987	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1987	11	1161	Urban	Urban	0.1	1424.3838548268325
1987	22	7915	Cropland	Cropland	0.5	9710.592774293178
1987	33	156	Pasture / rangeland	Grassland	1	191.39007868474235
1987	44	35668	Forest	Forest	0.3	43759.623887996095
1987	55	382	Unmanaged grass / shrubland	Grassland	1	468.6603208818691
1987	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1987	77	1534	Water	Unsuitable	0	1882.0024403999664
1988	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1988	11	1171	Urban	Urban	0.1	1436.652449614316
1988	22	7916	Cropland	Cropland	0.5	9711.819633771926
1988	33	157	Pasture / rangeland	Grassland	1	192.61693816349072
1988	44	35632	Forest	Forest	0.3	43715.45694676115
1988	55	404	Unmanaged grass / shrubland	Grassland	1	495.65122941433276
1988	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1988	77	1534	Water	Unsuitable	0	1882.0024403999664
1989	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1989	11	1185	Urban	Urban	0.1	1453.8284823167928
1989	22	7905	Cropland	Cropland	0.5	9698.324179505695
1989	33	157	Pasture / rangeland	Grassland	1	192.61693816349072
1989	44	35595	Forest	Forest	0.3	43670.06314604746
1989	55	435	Unmanaged grass / shrubland	Grassland	1	533.6838732555316
1989	66	14	Sparse / no vegetation	Unsuitable	0	17.176032702476878
1989	77	1534	Water	Unsuitable	0	1882.0024403999664
1990	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1990	11	1198	Urban	Urban	0.1	1469.7776555405214
1990	22	7894	Cropland	Cropland	0.5	9684.828725239462
1990	33	158	Pasture / rangeland	Grassland	1	193.84379764223905
1990	44	35583	Forest	Forest	0.3	43655.340832302485
1990	55	447	Unmanaged grass / shrubland	Grassland	1	548.4061870005117
1990	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1990	77	1534	Water	Unsuitable	0	1882.0024403999664
1991	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1991	11	1209	Urban	Urban	0.1	1483.2731098067532
1991	22	7811	Cropland	Cropland	0.5	9582.99938850335
1991	33	159	Pasture / rangeland	Grassland	1	195.0706571209874
1991	44	35595	Forest	Forest	0.3	43670.06314604746
1991	55	506	Unmanaged grass / shrubland	Grassland	1	620.7908962466643
1991	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1991	77	1534	Water	Unsuitable	0	1882.0024403999664
1992	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1992	11	1225	Urban	Urban	0.1	1502.9028614667268
1992	22	7729	Cropland	Cropland	0.5	9482.396911245985
1992	33	176	Pasture / rangeland	Grassland	1	215.92726825970934
1992	44	35605	Forest	Forest	0.3	43682.33174083495
1992	55	545	Unmanaged grass / shrubland	Grassland	1	668.6384159178499
1992	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1992	77	1534	Water	Unsuitable	0	1882.0024403999664
1993	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1993	11	1244	Urban	Urban	0.1	1526.2131915629454
1993	22	7807	Cropland	Cropland	0.5	9578.091950588356
1993	33	174	Pasture / rangeland	Grassland	1	213.47354930221263
1993	44	35577	Forest	Forest	0.3	43647.97967542999
1993	55	479	Unmanaged grass / shrubland	Grassland	1	587.6656903204589
1993	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1993	77	1534	Water	Unsuitable	0	1882.0024403999664
1994	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1994	11	1253	Urban	Urban	0.1	1537.2549268716807
1994	22	7805	Cropland	Cropland	0.5	9575.638231630859
1994	33	176	Pasture / rangeland	Grassland	1	215.92726825970934
1994	44	35572	Forest	Forest	0.3	43641.845378036254
1994	55	475	Unmanaged grass / shrubland	Grassland	1	582.7582524054656
1994	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1994	77	1534	Water	Unsuitable	0	1882.0024403999664
1995	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1995	11	1258	Urban	Urban	0.1	1543.3892242654224
1995	22	7740	Cropland	Cropland	0.5	9495.892365512216
1995	33	160	Pasture / rangeland	Grassland	1	196.29751659973576
1995	44	35575	Forest	Forest	0.3	43645.5259564725
1995	55	546	Unmanaged grass / shrubland	Grassland	1	669.8652753965982
1995	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1995	77	1534	Water	Unsuitable	0	1882.0024403999664
1996	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1996	11	1263	Urban	Urban	0.1	1549.523521659164
1996	22	7990	Cropland	Cropland	0.5	9802.607235199304
1996	33	110	Pasture / rangeland	Grassland	1	134.95454266231832
1996	44	35549	Forest	Forest	0.3	43613.62761002504
1996	55	369	Unmanaged grass / shrubland	Grassland	1	452.7111476581406
1996	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1996	77	1534	Water	Unsuitable	0	1882.0024403999664
1997	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1997	11	1266	Urban	Urban	0.1	1553.204100095409
1997	22	7991	Cropland	Cropland	0.5	9803.834094678052
1997	33	105	Pasture / rangeland	Grassland	1	128.8202452685766
1997	44	35549	Forest	Forest	0.3	43613.62761002504
1997	55	370	Unmanaged grass / shrubland	Grassland	1	453.9380071368889
1997	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1997	77	1534	Water	Unsuitable	0	1882.0024403999664
1998	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1998	11	1266	Urban	Urban	0.1	1553.204100095409
1998	22	7984	Cropland	Cropland	0.5	9795.246078326814
1998	33	106	Pasture / rangeland	Grassland	1	130.04710474732494
1998	44	35547	Forest	Forest	0.3	43611.17389106754
1998	55	378	Unmanaged grass / shrubland	Grassland	1	463.7528829668757
1998	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1998	77	1534	Water	Unsuitable	0	1882.0024403999664
1999	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1999	11	1266	Urban	Urban	0.1	1553.204100095409
1999	22	7963	Cropland	Cropland	0.5	9769.482029273098
1999	33	109	Pasture / rangeland	Grassland	1	133.72768318356998
1999	44	35571	Forest	Forest	0.3	43640.6185185575
1999	55	372	Unmanaged grass / shrubland	Grassland	1	456.3917260943856
1999	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1999	77	1534	Water	Unsuitable	0	1882.0024403999664
2000	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2000	11	1268	Urban	Urban	0.1	1555.6578190529058
2000	22	7884	Cropland	Cropland	0.5	9672.560130451979
2000	33	109	Pasture / rangeland	Grassland	1	133.72768318356998
2000	44	35588	Forest	Forest	0.3	43661.47512969623
2000	55	409	Unmanaged grass / shrubland	Grassland	1	501.7855268080745
2000	66	33	Sparse / no vegetation	Unsuitable	0	40.486362798695495
2000	77	1534	Water	Unsuitable	0	1882.0024403999664
2001	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2001	11	1272	Urban	Urban	0.1	1560.5652569678991
2001	22	7831	Cropland	Cropland	0.5	9607.536578078316
2001	33	138	Pasture / rangeland	Grassland	1	169.3066080672721
2001	44	35579	Forest	Forest	0.3	43650.43339438749
2001	55	432	Unmanaged grass / shrubland	Grassland	1	530.0032948192866
2001	66	39	Sparse / no vegetation	Unsuitable	0	47.84751967118559
2001	77	1534	Water	Unsuitable	0	1882.0024403999664
2002	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2002	11	1277	Urban	Urban	0.1	1566.699554361641
2002	22	7819	Cropland	Cropland	0.5	9592.814264333336
2002	33	179	Pasture / rangeland	Grassland	1	219.60784669595438
2002	44	35541	Forest	Forest	0.3	43603.81273419505
2002	55	434	Unmanaged grass / shrubland	Grassland	1	532.4570137767832
2002	66	41	Sparse / no vegetation	Unsuitable	0	50.301238628682285
2002	77	1534	Water	Unsuitable	0	1882.0024403999664
2003	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2003	11	1281	Urban	Urban	0.1	1571.6069922766344
2003	22	7806	Cropland	Cropland	0.5	9576.865091109608
2003	33	193	Pasture / rangeland	Grassland	1	236.78387939843125
2003	44	35527	Forest	Forest	0.3	43586.63670149258
2003	55	435	Unmanaged grass / shrubland	Grassland	1	533.6838732555316
2003	66	49	Sparse / no vegetation	Unsuitable	0	60.116114458669074
2003	77	1534	Water	Unsuitable	0	1882.0024403999664
2004	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2004	11	1292	Urban	Urban	0.1	1585.1024465428661
2004	22	7784	Cropland	Cropland	0.5	9549.874182577145
2004	33	276	Pasture / rangeland	Grassland	1	338.6132161345442
2004	44	35450	Forest	Forest	0.3	43492.168521628955
2004	55	439	Unmanaged grass / shrubland	Grassland	1	538.5913111705249
2004	66	50	Sparse / no vegetation	Unsuitable	0	61.34297393741742
2004	77	1534	Water	Unsuitable	0	1882.0024403999664
2005	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2005	11	1304	Urban	Urban	0.1	1599.8247602878464
2005	22	7921	Cropland	Cropland	0.5	9717.953931165668
2005	33	220	Pasture / rangeland	Grassland	1	269.90908532463664
2005	44	35423	Forest	Forest	0.3	43459.043315702744
2005	55	391	Unmanaged grass / shrubland	Grassland	1	479.70205619060425
2005	66	32	Sparse / no vegetation	Unsuitable	0	39.25950331994715
2005	77	1534	Water	Unsuitable	0	1882.0024403999664
2006	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2006	11	1314	Urban	Urban	0.1	1612.0933550753298
2006	22	7909	Cropland	Cropland	0.5	9703.231617420688
2006	33	207	Pasture / rangeland	Grassland	1	253.95991210090813
2006	44	35431	Forest	Forest	0.3	43468.85819153273
2006	55	396	Unmanaged grass / shrubland	Grassland	1	485.836353584346
2006	66	34	Sparse / no vegetation	Unsuitable	0	41.71322227744385
2006	77	1534	Water	Unsuitable	0	1882.0024403999664
2007	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2007	11	1325	Urban	Urban	0.1	1625.5888093415617
2007	22	7892	Cropland	Cropland	0.5	9682.375006281965
2007	33	171	Pasture / rangeland	Grassland	1	209.7929708659676
2007	44	35453	Forest	Forest	0.3	43495.8491000652
2007	55	407	Unmanaged grass / shrubland	Grassland	1	499.33180785057783
2007	66	43	Sparse / no vegetation	Unsuitable	0	52.75495758617898
2007	77	1534	Water	Unsuitable	0	1882.0024403999664
2008	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2008	11	1338	Urban	Urban	0.1	1641.5379825652901
2008	22	7874	Cropland	Cropland	0.5	9660.291535664495
2008	33	109	Pasture / rangeland	Grassland	1	133.72768318356998
2008	44	35491	Forest	Forest	0.3	43542.469760257634
2008	55	425	Unmanaged grass / shrubland	Grassland	1	521.4152784680481
2008	66	54	Sparse / no vegetation	Unsuitable	0	66.25041185241082
2008	77	1534	Water	Unsuitable	0	1882.0024403999664
2009	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
2009	11	1355	Urban	Urban	0.1	1662.394593704012
