landscape	model	comparison	n_reps	mean_retention	sd_retention	min_retention	max_retention	mean_retention_100yr	sd_retention_100yr	empirical_retention	empirical_retention_100yr	error_100yr_percentage_points
full	Kexp1p3_D120	E_Skane	5	0.98825760222231	0.0083401500949298	0.977420672431541	0.998111336095116	0.981737782847741	0.0129443246367007	0.98158225198828	0.971805906485717	0.993187636202397
full	Kexp1p3_D120	Ehist_to_SEmodern	5	0.981500459286262	0.0068507555737241	0.971066271612279	0.989602125041692	0.971261914133266	0.0105833362293596	0.875261615738803	0.817203326615432	15.4058587517834
full	Kexp1p3_D120	W_Skane	5	0.995713950747101	0.00289804067986332	0.993027494363944	0.999722098364477	0.993796511946298	0.00419296423050813	0.979130434782609	0.970320197986051	2.34763139602469
no_oland	Kexp1p2_D120	E_Skane	5	0.992103065942665	0.00582204141204032	0.98594190674031	0.999964557708161	0.98770043376126	0.00905859133492389	0.98158225198828	0.971805906485717	1.58945272755427
no_oland	Kexp1p2_D120	Ehist_to_SEmodern	5	0.986137046255342	0.00443353908107456	0.98319972755397	0.993902393261783	0.978430708378522	0.00688370574741123	0.875261615738803	0.817203326615432	16.1227381763089
no_oland	Kexp1p2_D120	W_Skane	5	0.993828561829804	0.00648315238594229	0.985287094588547	1.00307101648281	0.991079283033916	0.009371619216686	0.979130434782609	0.970320197986051	2.07590850478648
no_oland	Kexp1p3_D120	E_Skane	5	0.990535311465593	0.00264303665200206	0.986486833038738	0.993072485843934	0.985253311774914	0.00410577741179134	0.98158225198828	0.971805906485717	1.34474052891962
no_oland	Kexp1p3_D120	Ehist_to_SEmodern	5	0.98681684291858	0.00290543867103751	0.983244348831215	0.991364020401366	0.979480824021	0.0045078213872063	0.875261615738803	0.817203326615432	16.2277497405568
no_oland	Kexp1p3_D120	W_Skane	5	0.997974559394958	0.00283846674146833	0.995410527762166	1.00220956732397	0.997068015026143	0.00411153391491534	0.979130434782609	0.970320197986051	2.67478170400919
skane_only	Kexp1p2_D120	E_Skane	5	0.991688705933444	0.00484284472051036	0.98639631528343	0.998974430104317	0.987052268745196	0.00753672005313439	0.98158225198828	0.971805906485717	1.52463622594784
skane_only	Kexp1p2_D120	Ehist_to_SEmodern	5	0.98426875266257	0.006289561972183	0.979539074788242	0.993662641233429	0.975542925302623	0.00975119221211664	0.875261615738803	0.817203326615432	15.8339598687191
skane_only	Kexp1p2_D120	W_Skane	5	0.999594330880751	0.00371157178199342	0.993420126907866	1.002778018801	0.999415718313247	0.00537390014738165	0.979130434782609	0.970320197986051	2.90955203271952
skane_only	Kexp1p3_D120	E_Skane	5	0.990193231382078	0.00694133681589102	0.981759509392626	0.999981947544093	0.984736256258788	0.010790913954941	0.98158225198828	0.971805906485717	1.29303497730705
skane_only	Kexp1p3_D120	Ehist_to_SEmodern	5	0.984534819444299	0.00564671452744655	0.978338885024158	0.990441798921777	0.975952286345957	0.00874392538303847	0.875261615738803	0.817203326615432	15.8748959730524
skane_only	Kexp1p3_D120	W_Skane	5	0.995251463999661	0.00371424534957451	0.991411599711716	1.00065603675586	0.993129012457519	0.00537361693511579	0.979130434782609	0.970320197986051	2.28088144714679
skane_only	Kexp1p5_D120	E_Skane	5	0.983328404126561	0.00726375199143696	0.972582805228578	0.989181006858508	0.974091771061386	0.0112286681361328	0.98158225198828	0.971805906485717	0.228586457566826
skane_only	Kexp1p5_D120	Ehist_to_SEmodern	5	0.979056688739145	0.00551755537032109	0.973587899328681	0.988329622015713	0.967480217409379	0.00853166785075623	0.875261615738803	0.817203326615432	15.0276890793947
skane_only	Kexp1p5_D120	W_Skane	5	0.995963603576772	0.00474077045408227	0.992188690481543	1.00401779048773	0.99416131959224	0.00686580864312069	0.979130434782609	0.970320197986051	2.38411216061882
