landscape	model	target	n_reps	mean_FROH	sd_between_reps	min_rep_FROH	max_rep_FROH	empirical_FROH	absolute_error
full	Kexp1p3_D120	ESkane_hist	5	0.0269602344931503	0.00547670035444819	0.0221191016914986	0.0353182060625293	0.0084	0.0185602344931503
full	Kexp1p3_D120	ESkane_mod	5	0.0457448546449364	0.0205872680545895	0.0250189021804977	0.0778728819726522	0.016125	0.0296198546449364
full	Kexp1p3_D120	SESkane_mod	5	0.0349856570730252	0.00854388229768247	0.026164037392356	0.0468662203145768	0.1537142857	-0.118728628626975
full	Kexp1p3_D120	WSkane_hist	5	0.0264073230559744	0.00649857558758836	0.0210412030748096	0.0372895580006372	0.0082	0.0182073230559744
full	Kexp1p3_D120	WSkane_mod	5	0.0290797533714821	0.00568742491272034	0.0241083720582024	0.0379864948713662	0.061375	-0.0322952466285179
no_oland	Kexp1p2_D120	ESkane_hist	5	0.0239753656169439	0.00290673913038976	0.0198634521164559	0.0271942482613385	0.0084	0.0155753656169439
no_oland	Kexp1p2_D120	ESkane_mod	5	0.027309113007202	0.00746021348273757	0.0171292051494327	0.0347201404802054	0.016125	0.011184113007202
no_oland	Kexp1p2_D120	NSmaland_hist_1900proxy	4	0.0831369014099686	0.0769936847235318	0.0353852771760279	0.19810556888349	NA	NA
no_oland	Kexp1p2_D120	NSmaland_hist_1951proxy	1	0.037798154548851	NA	0.037798154548851	0.037798154548851	NA	NA
no_oland	Kexp1p2_D120	SESkane_mod	5	0.0352901629391797	0.0170817524645708	0.0226971758361362	0.0648512415852999	0.1537142857	-0.11842412276082
no_oland	Kexp1p2_D120	WSkane_hist	5	0.0195349069128572	0.00737229228473661	0.0146985184945306	0.0326045345761652	0.0082	0.0113349069128572
no_oland	Kexp1p2_D120	WSkane_mod	5	0.0279896216162837	0.0120143697547042	0.0136707738063234	0.0456431212205775	0.061375	-0.0333853783837163
no_oland	Kexp1p3_D120	ESkane_hist	5	0.0188544851974701	0.00519267013080391	0.0130690872531175	0.0264741903156812	0.0084	0.0104544851974701
no_oland	Kexp1p3_D120	ESkane_mod	5	0.0394141643797934	0.00707575945016146	0.0290651267052513	0.0478841894123463	0.016125	0.0232891643797934
no_oland	Kexp1p3_D120	SESkane_mod	5	0.0326195190015507	0.00724133531774868	0.0252489545150452	0.0424994389665022	0.1537142857	-0.121094766698449
no_oland	Kexp1p3_D120	WSkane_hist	5	0.021804196938588	0.00516738803417736	0.0178131657479146	0.0305558881556674	0.0082	0.013604196938588
no_oland	Kexp1p3_D120	WSkane_mod	5	0.0220272843824957	0.00549202141422814	0.0136955038917519	0.0287609089057722	0.061375	-0.0393477156175043
skane_only	Kexp1p2_D120	ESkane_hist	5	0.0249047806561745	0.00459763988233935	0.0193834903736465	0.0304769875034534	0.0084	0.0165047806561745
skane_only	Kexp1p2_D120	ESkane_mod	5	0.029321405786994	0.00480637567808737	0.0244072712730345	0.0357942802370198	0.016125	0.013196405786994
skane_only	Kexp1p2_D120	SESkane_mod	5	0.0334581458016842	0.0111165652462261	0.0200931436980715	0.046373878787974	0.1537142857	-0.120256139898316
skane_only	Kexp1p2_D120	WSkane_hist	5	0.018564146465458	0.00355535421960418	0.0141620730612555	0.0227573702757558	0.0082	0.010364146465458
skane_only	Kexp1p2_D120	WSkane_mod	5	0.0192563387359374	0.00903829200063365	0.0107712434526939	0.0336486009748477	0.061375	-0.0421186612640626
skane_only	Kexp1p3_D120	ESkane_hist	5	0.0274162313640683	0.0118094052589448	0.0159480720306582	0.0426212186406808	0.0084	0.0190162313640683
skane_only	Kexp1p3_D120	ESkane_mod	5	0.040945509043705	0.0180384532040131	0.0175934866451302	0.0658686233087584	0.016125	0.024820509043705
skane_only	Kexp1p3_D120	SESkane_mod	5	0.0453927289453656	0.0161882940103231	0.0260228011244325	0.0614051435993783	0.1537142857	-0.108321556754634
skane_only	Kexp1p3_D120	WSkane_hist	5	0.0144232714370706	0.00332050183765684	0.01096059006314	0.0197597245763248	0.0082	0.00622327143707058
skane_only	Kexp1p3_D120	WSkane_mod	5	0.0216089582187702	0.0039432034009855	0.0182184316070339	0.0279204106129926	0.061375	-0.0397660417812298
skane_only	Kexp1p5_D120	ESkane_hist	5	0.0272652909014854	0.00635390832270211	0.0175856722296915	0.0351257106015421	0.0084	0.0188652909014854
skane_only	Kexp1p5_D120	ESkane_mod	5	0.043220439861625	0.0270461287269262	0.0225266840185483	0.0875033038997987	0.016125	0.027095439861625
skane_only	Kexp1p5_D120	SESkane_mod	5	0.0399979251850514	0.0078898037142007	0.0338976438644281	0.0537585487283242	0.1537142857	-0.113716360514949
skane_only	Kexp1p5_D120	WSkane_hist	5	0.0269075277654122	0.00792232237766062	0.0179073564674883	0.0397249846590587	0.0082	0.0187075277654122
skane_only	Kexp1p5_D120	WSkane_mod	5	0.0271292328718475	0.00400709753663409	0.0213061215559322	0.0319433169328199	0.061375	-0.0342457671281525
