landscape	model	n_comparisons	mean_absolute_error	RMSE	FROH_only_rank
skane_only	Kexp1p3_D120	3	0.0597104596722133	0.0782381382972033	1
no_oland	Kexp1p2_D120	3	0.0610370087613599	0.0815987130249656	2
no_oland	Kexp1p3_D120	3	0.0657786145447784	0.0822067306803145	3
skane_only	Kexp1p5_D120	3	0.0645883650900461	0.0825624633924718	4
skane_only	Kexp1p2_D120	3	0.0641840343843971	0.0845949956013168	5
full	Kexp1p3_D120	3	0.0662836843188012	0.0846976124800364	6
