landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	historical_FROH	modern_FROH	delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	delta_error
no_oland	Kexp1p3_D120	rep001	E_Skane	1956	2020	0.0189859253804014	0.0363697792314463	0.017383853851045	0.0084	0.016125	0.007725	0.00965885385104497
no_oland	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0189859253804014	0.0252489545150452	0.00626302913464386	0.0084	0.1537142857	0.1453142857	-0.139051256565356
no_oland	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.018147436142767	0.0225824812854978	0.0044350451427308	0.0082	0.061375	0.053175	-0.0487399548572692
no_oland	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0264741903156812	0.0420050501795075	0.0155308598638262	0.0084	0.016125	0.007725	0.00780585986382624
no_oland	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0264741903156812	0.0424994389665022	0.016025248650821	0.0084	0.1537142857	0.1453142857	-0.129289037049179
no_oland	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.0178131657479146	0.0209618162021723	0.00314865045425766	0.0082	0.061375	0.053175	-0.0500263495457423
no_oland	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0205525814022806	0.0417466763704157	0.0211940949681351	0.0084	0.016125	0.007725	0.0134690949681351
no_oland	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0205525814022806	0.0346528756350672	0.0141002942327867	0.0084	0.1537142857	0.1453142857	-0.131213991467213
no_oland	Kexp1p3_D120	rep004	W_Skane	1951	2020	0.0216433809229191	0.0136955038917519	-0.00794787703116723	0.0082	0.061375	0.053175	-0.0611228770311672
no_oland	Kexp1p3_D120	rep004	E_Skane	1956	2020	0.0151906416358699	0.0290651267052513	0.0138744850693814	0.0084	0.016125	0.007725	0.00614948506938144
no_oland	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0151906416358699	0.0350041834302517	0.0198135417943818	0.0084	0.1537142857	0.1453142857	-0.125500743905618
no_oland	Kexp1p3_D120	rep005	W_Skane	1951	2020	0.0208611137236722	0.0241357116272843	0.00327459790361214	0.0082	0.061375	0.053175	-0.0499004020963879
no_oland	Kexp1p3_D120	rep005	E_Skane	1956	2020	0.0130690872531175	0.0478841894123463	0.0348151021592288	0.0084	0.016125	0.007725	0.0270901021592288
no_oland	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0130690872531175	0.025692142460887	0.0126230552077695	0.0084	0.1537142857	0.1453142857	-0.13269123049223
skane_only	Kexp1p2_D120	rep001	W_Skane	1951	2020	0.0206255992728696	0.0160441163300182	-0.00458148294285143	0.0082	0.061375	0.053175	-0.0577564829428514
skane_only	Kexp1p2_D120	rep001	E_Skane	1956	2020	0.0286543557969338	0.0357942802370198	0.00713992444008598	0.0084	0.016125	0.007725	-0.000585075559914024
skane_only	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0286543557969338	0.0301894478510298	0.00153509205409593	0.0084	0.1537142857	0.1453142857	-0.143779193645904
skane_only	Kexp1p2_D120	rep002	W_Skane	1951	2020	0.0156839844085111	0.0336486009748477	0.0179646165663366	0.0082	0.061375	0.053175	-0.0352103834336634
skane_only	Kexp1p2_D120	rep002	E_Skane	1956	2020	0.0193834903736465	0.027221951088312	0.00783846071466551	0.0084	0.016125	0.007725	0.000113460714665512
skane_only	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0193834903736465	0.0200931436980715	0.00070965332442496	0.0084	0.1537142857	0.1453142857	-0.144604632375575
skane_only	Kexp1p2_D120	rep003	W_Skane	1951	2020	0.0195917053088979	0.0138052644465286	-0.0057864408623693	0.0082	0.061375	0.053175	-0.0589614408623693
skane_only	Kexp1p2_D120	rep003	E_Skane	1956	2020	0.0304769875034534	0.0328936013464597	0.00241661384300637	0.0084	0.016125	0.007725	-0.00530838615699363
skane_only	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0304769875034534	0.0272153818130762	-0.00326160569037711	0.0084	0.1537142857	0.1453142857	-0.148575891390377
skane_only	Kexp1p2_D120	rep004	W_Skane	1951	2020	0.0227573702757558	0.0220124684755988	-0.000744901800157002	0.0082	0.061375	0.053175	-0.053919901800157
skane_only	Kexp1p2_D120	rep004	E_Skane	1956	2020	0.0220723727789078	0.0262899249901441	0.00421755221123639	0.0084	0.016125	0.007725	-0.00350744778876361
skane_only	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0220723727789078	0.046373878787974	0.0243015060090663	0.0084	0.1537142857	0.1453142857	-0.121012779690934
skane_only	Kexp1p2_D120	rep005	W_Skane	1951	2020	0.0141620730612555	0.0107712434526939	-0.00339082960856157	0.0082	0.061375	0.053175	-0.0565658296085616
skane_only	Kexp1p2_D120	rep005	E_Skane	1956	2020	0.0239366968279308	0.0244072712730345	0.000470574445103657	0.0084	0.016125	0.007725	-0.00725442555489634
skane_only	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0239366968279308	0.0434188768582697	0.0194821800303389	0.0084	0.1537142857	0.1453142857	-0.125832105669661
skane_only	Kexp1p3_D120	rep001	W_Skane	1951	2020	0.0197597245763248	0.0182184316070339	-0.00154129296929088	0.0082	0.061375	0.053175	-0.0547162929692909
skane_only	Kexp1p3_D120	rep001	E_Skane	1956	2020	0.0373681395674704	0.0453701091501322	0.00800196958266183	0.0084	0.016125	0.007725	0.000276969582661832
skane_only	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0373681395674704	0.0260228011244325	-0.0113453384430379	0.0084	0.1537142857	0.1453142857	-0.156659624143038
skane_only	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.0125346633481374	0.0185670183759194	0.00603235502778206	0.0082	0.061375	0.053175	-0.0471426449722179
skane_only	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0159480720306582	0.0449302612120317	0.0289821891813735	0.0084	0.016125	0.007725	0.0212571891813735
skane_only	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0159480720306582	0.0614051435993783	0.04545707156872	0.0084	0.1537142857	0.1453142857	-0.09985721413128
skane_only	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.01096059006314	0.0279204106129926	0.0169598205498526	0.0082	0.061375	0.053175	-0.0362151794501474
skane_only	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0426212186406808	0.0658686233087584	0.0232474046680776	0.0084	0.016125	0.007725	0.0155224046680776
skane_only	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0426212186406808	0.0313322483869628	-0.011288970253718	0.0084	0.1537142857	0.1453142857	-0.156603255953718
skane_only	Kexp1p3_D120	rep004	W_Skane	1951	2020	0.014246183719735	0.0225651744673436	0.00831899074760858	0.0082	0.061375	0.053175	-0.0448560092523914
skane_only	Kexp1p3_D120	rep004	E_Skane	1956	2020	0.0194748974373953	0.0309650649024726	0.0114901674650774	0.0084	0.016125	0.007725	0.00376516746507737
skane_only	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0194748974373953	0.0599009308732725	0.0404260334358773	0.0084	0.1537142857	0.1453142857	-0.104888252264123
skane_only	Kexp1p3_D120	rep005	W_Skane	1951	2020	0.0146151954780158	0.0207737560305613	0.00615856055254556	0.0082	0.061375	0.053175	-0.0470164394474544
