landscape	model	rep	simulation_year	target	target_region	locality	empirical_population	empirical_year	match_type	model_x	model_y	radius	total_snapshot_N	available	required	enough	nearest_distance	females_in_pool	males_in_pool	source_file
full	Kexp1p3_D120	rep004	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	37160	0	3	FALSE	23.5800501947399	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year1951_positions.tsv
full	Kexp1p3_D120	rep005	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	35147	0	3	FALSE	9.08996346354636	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year1951_positions.tsv
full	Kexp1p3_D120	rep001	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	22008	0	6	FALSE	58.1972465420314	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year2020_positions.tsv
full	Kexp1p3_D120	rep002	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	23085	0	6	FALSE	42.3716538360835	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year2020_positions.tsv
full	Kexp1p3_D120	rep003	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	24273	0	6	FALSE	45.0253590202806	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year2020_positions.tsv
full	Kexp1p3_D120	rep004	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	22131	0	6	FALSE	47.2915194304674	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year2020_positions.tsv
full	Kexp1p3_D120	rep005	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	22614	0	6	FALSE	47.1440290237531	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year2020_positions.tsv
full	Kexp1p3_D120	rep001	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	22008	60	7	TRUE	0.750058313657986	28	32	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year2020_positions.tsv
full	Kexp1p3_D120	rep002	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	23085	71	7	TRUE	0.50674084228846	36	35	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year2020_positions.tsv
full	Kexp1p3_D120	rep003	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	24273	47	7	TRUE	0.612229859487536	22	25	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year2020_positions.tsv
full	Kexp1p3_D120	rep004	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	22131	87	7	TRUE	0.371680560926665	45	42	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year2020_positions.tsv
full	Kexp1p3_D120	rep005	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	22614	58	7	TRUE	0.670539044179269	28	30	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year2020_positions.tsv
full	Kexp1p3_D120	rep001	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	36649	196	5	TRUE	0.278992143906579	102	94	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year1951_positions.tsv
full	Kexp1p3_D120	rep002	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	36942	188	5	TRUE	0.18754723300974	102	86	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year1951_positions.tsv
full	Kexp1p3_D120	rep003	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	37219	199	5	TRUE	0.23852158491342	108	91	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year1951_positions.tsv
full	Kexp1p3_D120	rep004	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	37160	150	5	TRUE	0.216560162138319	64	86	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year1951_positions.tsv
full	Kexp1p3_D120	rep005	1951	WSkane_hist	WSkane	Torna Hällestad	WSkane1951	1951	exact	95.0650785338744	52.9978217183044	4	35147	208	5	TRUE	0.160788599110248	101	107	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year1951_positions.tsv
full	Kexp1p3_D120	rep001	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	22008	159	8	TRUE	0.31560305839486	89	70	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year2020_positions.tsv
full	Kexp1p3_D120	rep002	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	23085	130	8	TRUE	0.0706230869578993	63	67	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year2020_positions.tsv
full	Kexp1p3_D120	rep003	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	24273	137	8	TRUE	0.414045133157373	59	78	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year2020_positions.tsv
full	Kexp1p3_D120	rep004	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	22131	148	8	TRUE	0.457999297548819	77	71	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year2020_positions.tsv
full	Kexp1p3_D120	rep005	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	22614	144	8	TRUE	0.328947864274807	72	72	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep001	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	44144	194	5	TRUE	0.142385584223023	100	94	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year1956_positions.tsv
no_oland	Kexp1p2_D120	rep002	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	44060	191	5	TRUE	0.034693749721821	107	84	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year1956_positions.tsv
no_oland	Kexp1p2_D120	rep003	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	45071	161	5	TRUE	0.240668709751406	78	83	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year1956_positions.tsv
no_oland	Kexp1p2_D120	rep004	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	44396	167	5	TRUE	0.29858447247029	84	83	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year1956_positions.tsv
no_oland	Kexp1p2_D120	rep005	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	43175	204	5	TRUE	0.0623421662448436	106	98	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year1956_positions.tsv
no_oland	Kexp1p2_D120	rep001	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	25053	123	8	TRUE	0.36112208690003	65	58	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep002	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	25741	113	8	TRUE	0.442242922114038	61	52	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep003	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	27833	107	8	TRUE	0.142412101179857	51	56	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep004	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	26503	106	8	TRUE	0.397881084824592	51	55	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep005	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	26865	108	8	TRUE	0.259112264882439	55	53	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep001	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	49493	4	3	TRUE	1.45283665342114	3	1	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year1900_positions.tsv
no_oland	Kexp1p2_D120	rep002	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	47626	3	3	TRUE	2.52584935460258	3	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year1900_positions.tsv
no_oland	Kexp1p2_D120	rep003	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	50340	2	3	FALSE	1.20935672280801	1	1	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year1900_positions.tsv
no_oland	Kexp1p2_D120	rep004	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	49130	6	3	TRUE	1.23291635606161	5	1	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year1900_positions.tsv
no_oland	Kexp1p2_D120	rep005	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	49472	5	3	TRUE	2.5903960430866	1	4	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year1900_positions.tsv
no_oland	Kexp1p2_D120	rep001	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	44529	1	3	FALSE	3.32955307134105	0	1	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year1951_positions.tsv
no_oland	Kexp1p2_D120	rep002	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	44149	0	3	FALSE	4.02765458961952	0	0	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year1951_positions.tsv
