sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
4055	Hallmyra gård	T	32	6574960.78001481	618769.106549934	Södermanlands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
3274	Västerängsvägen 2, Älvsjö	P	122	6574605.69560689	670218.333356568	Stockholms län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
3834	Göransudde	P	122	6573898.32940129	441602.464979937	Värmlands län	Svensk Dagfjärilsövervakning, LU	512.0	Water bodies	Other	0
3781	Korpberget och Vårbergstoppen	T	970	6573681.48120204	663909.596133313	Stockholms län	Svensk Dagfjärilsövervakning, LU	141.0	Green urban areas	Urban	0
3299	Långviksträsk	P	11	6571774.98859969	698790.295482239	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
304	Källbrinks IP – Källviks gård	T	3786	6571087.62023851	668015.287276811	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3294	Gruvvägen 6, Ingarö	T	177	6570939.66220656	698671.42181175	Stockholms län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
216	Fjärilslunden	P	38	6570380.05269313	513176.562982159	Örebro län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
2866	Åkerskolan, Åkers styckebruk	T	12	6570336.4618723	620309.731095109	Södermanlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
3637	Hörningsnäs, Huddinge	P	1	6570129.93464544	671333.321911334	Stockholms län	Artportalen, SLU	112.0	Discontinuous urban fabric	Urban	0
3806	Lilla Charlottenlund	P	50	6569272.39732467	508297.657392481	Örebro län	Svensk Dagfjärilsövervakning, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
3298	Norra Nämdö	P	232	6569106.55559808	712607.840723805	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3974	Södra skogen, Örebro	P	45	6568328.79112562	506732.622956921	Örebro län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
3604	Ågestaslingan	T	3	6568310.52810267	675076.726100959	Stockholms län	Svensk Dagfjärilsövervakning, LU	231.0	Pastures	Pasture/Rangeland	0
2946	Dymmelkärrsvägen	P	68	6567932.78112533	666744.678238481	Stockholms län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
177	Lina Hage	T	124	6567719.59615772	647384.770503834	Stockholms län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
802	Markaskogen	P	148	6567392.62784218	515370.958396542	Örebro län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
801	Granvägen, Brickebacken	P	78	6567113.70730471	514129.757343004	Örebro län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
