sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
2740	Svensvik, Åbyfjorden	T	1	6477526.38669582	289546.574323284	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	333	Sparsely vegetated areas	Sparse/no vegetation	1
126	Gullmarsberg 511	P	4	6475330.43204459	303350.706917024	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
879	Norrhagen, 300 m V	T	2	6473424.00090877	557087.450829535	Östergötlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
332	Mötesplats virkesupplag Hunneberg	P	4	6468548.7782541	354570.43619408	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
331	Kalkvägen Ö Jonstorpsmossen Ringvägen Hunneberg	P	8	6467007.92255942	354430.987486635	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
2708	Utsiktsgatan 5, Lysekil	P	1	6464676.46749528	290823.010302608	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
327	Jordbron, Skövde Skjutfält	T	101	6463547.22004337	435075.482349942	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
2778	Västra ringvägen, norra delen	P	4	6463462.79473131	433284.278186564	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
722	Syntorp 1:17	P	1	6461197.21087168	588534.249053439	Östergötlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
897	KBs väg	T	12	6460687.13772454	347827.283808657	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
1057	Åsabacken	T	1	6460451.16761455	423270.812565547	Västra Götalands län	Länsstyrelsen i Västra Götalands län	211	Non-irrigated arable land	Cropland	1
124	Öventorp, Kvarnängen	T	6	6456379.6818279	345425.189950277	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
128	Morkullen, Kåröd, Stillingsön, Orust	P	8	6455173.51646584	313801.337954659	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
206	Pelarbo punkt	P	16	6452648.6605842	486851.916888619	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
2859	Pelarbo slinga	T	5	6452407.01135334	487040.737578474	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
207	Månsabola	T	4	6452073.85827717	485095.459782294	Östergötlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
123	Nyckleby Övergård 3	T	36	6450209.97621479	341161.39547024	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
2684	Svenshögen	P	1	6448198.8549185	320342.107086557	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
311	Surklev	P	1	6446971.32019273	544420.050554979	Östergötlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1
3563	Hallsta Mellankvarn	T	3	6444767.22117853	538249.34454364	Östergötlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
3749	Ödesängen	T	2	6441244.72361765	600359.982333108	Östergötlands län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1
