sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year
365	Axsjöfallet P	OSve	1	392.7	2.5464731347084286	2012-07-04	2012	27	186
365	Axsjöfallet P	OSve	1	392.7	2.5464731347084286	2013-06-20	2013	25	171
365	Axsjöfallet P	OSve	1	392.7	2.5464731347084286	2015-07-01	2015	27	182
367	Utterbäcksvägen 9	VGotSve	3	392.7	7.639419404125286	2011-06-04	2011	22	155
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2011-06-12	2011	23	163
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2011-06-16	2011	24	167
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2013-06-16	2013	24	167
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2013-07-25	2013	30	206
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2014-07-07	2014	28	188
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2016-07-10	2016	27	192
367	Utterbäcksvägen 9	VGotSve	2	392.7	5.092946269416857	2017-07-06	2017	27	187
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2018-06-06	2018	23	157
367	Utterbäcksvägen 9	VGotSve	2	392.7	5.092946269416857	2018-06-07	2018	23	158
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2018-06-22	2018	25	173
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2020-06-24	2020	26	176
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2020-06-27	2020	26	179
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2021-07-01	2021	26	182
367	Utterbäcksvägen 9	VGotSve	2	392.7	5.092946269416857	2022-07-09	2022	27	190
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2023-06-17	2023	24	168
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.5464731347084286	2023-06-29	2023	26	180
368	Karintorp	OGot	1	392.7	2.5464731347084286	2012-07-11	2012	28	193
368	Karintorp	OGot	3	392.7	7.639419404125286	2013-06-24	2013	26	175
368	Karintorp	OGot	1	392.7	2.5464731347084286	2013-07-06	2013	27	187
368	Karintorp	OGot	2	392.7	5.092946269416857	2014-06-08	2014	23	159
368	Karintorp	OGot	1	392.7	2.5464731347084286	2014-07-05	2014	27	186
368	Karintorp	OGot	2	392.7	5.092946269416857	2020-06-18	2020	25	170
395	Alvered 1:14	VGotSve	2	392.7	5.092946269416857	2014-06-08	2014	23	159
422	Barum 2:12	SGot	2	392.7	5.092946269416857	2015-06-26	2015	26	177
428	Viggbyholm	OSve	1	392.7	2.5464731347084286	2018-07-10	2018	28	191
428	Viggbyholm	OSve	1	392.7	2.5464731347084286	2019-06-07	2019	23	158
428	Viggbyholm	OSve	1	392.7	2.5464731347084286	2019-06-09	2019	23	160
428	Viggbyholm	OSve	1	392.7	2.5464731347084286	2019-06-23	2019	25	174
428	Viggbyholm	OSve	1	392.7	2.5464731347084286	2023-06-06	2023	23	157
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.5464731347084286	2016-06-11	2016	23	163
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.5464731347084286	2018-06-02	2018	22	153
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.5464731347084286	2018-06-04	2018	23	155
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.5464731347084286	2023-06-06	2023	23	157
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.5464731347084286	2023-06-17	2023	24	168
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.5464731347084286	2023-06-21	2023	25	172
445	Vreten	OSve	1	392.7	2.5464731347084286	2014-07-02	2014	27	183
445	Vreten	OSve	4	392.7	10.185892538833716	2018-06-24	2018	25	175
445	Vreten	OSve	1	392.7	2.5464731347084286	2019-07-12	2019	28	193
453	Viksberget	OSve	2	392.7	5.092946269416857	2012-07-07	2012	27	189
453	Viksberget	OSve	2	392.7	5.092946269416857	2012-07-20	2012	29	202
453	Viksberget	OSve	1	392.7	2.5464731347084286	2013-07-03	2013	27	184
458	Bangårdsområdet	NSveSNor	2	392.7	5.092946269416857	2012-06-20	2012	25	172
463	Läkärret	OSve	2	392.7	5.092946269416857	2014-07-23	2014	30	204
463	Läkärret	OSve	1	392.7	2.5464731347084286	2016-07-13	2016	28	195
463	Läkärret	OSve	2	392.7	5.092946269416857	2022-06-26	2022	25	177
464	Lönnbromossen	OSve	1	392.7	2.5464731347084286	2016-07-13	2016	28	195
485	Stibbetorp 106	OGot	1	392.7	2.5464731347084286	2012-06-12	2012	24	164
485	Stibbetorp 106	OGot	1	392.7	2.5464731347084286	2012-07-03	2012	27	185
486	Virsbo, Skräddartorp	OSve	3	392.7	7.639419404125286	2013-07-15	2013	29	196
490	Ängsö Nationalpark	OSve	1	392.7	2.5464731347084286	2012-07-04	2012	27	186
490	Ängsö Nationalpark	OSve	1	392.7	2.5464731347084286	2013-07-01	2013	27	182
524	Gamla grustaget, Norrhult	OGot	2	392.7	5.092946269416857	2015-07-05	2015	27	186
524	Gamla grustaget, Norrhult	OGot	2	392.7	5.092946269416857	2015-07-07	2015	28	188
524	Gamla grustaget, Norrhult	OGot	1	392.7	2.5464731347084286	2015-08-09	2015	32	221
524	Gamla grustaget, Norrhult	OGot	1	392.7	2.5464731347084286	2016-06-06	2016	23	158
529	Enehusa	SGot	1	392.7	2.5464731347084286	2015-06-25	2015	26	176
536	Listrehagen	OSve	10	392.7	25.46473134708429	2013-07-06	2013	27	187
536	Listrehagen	OSve	2	392.7	5.092946269416857	2013-07-27	2013	30	208
536	Listrehagen	OSve	1	392.7	2.5464731347084286	2013-08-02	2013	31	214
536	Listrehagen	OSve	2	392.7	5.092946269416857	2014-06-10	2014	24	161
536	Listrehagen	OSve	3	392.7	7.639419404125286	2014-07-05	2014	27	186
536	Listrehagen	OSve	3	392.7	7.639419404125286	2016-06-29	2016	26	181
536	Listrehagen	OSve	5	392.7	12.732365673542144	2018-06-04	2018	23	155
536	Listrehagen	OSve	3	392.7	7.639419404125286	2018-06-13	2018	24	164
536	Listrehagen	OSve	4	392.7	10.185892538833716	2023-06-21	2023	25	172
536	Listrehagen	OSve	1	392.7	2.5464731347084286	2024-06-24	2024	26	176
536	Listrehagen	OSve	1	392.7	2.5464731347084286	2025-06-21	2025	25	172
571	Risatorpet	OGot	1	392.7	2.5464731347084286	2016-06-19	2016	24	171
571	Risatorpet	OGot	2	392.7	5.092946269416857	2016-06-24	2016	25	176
571	Risatorpet	OGot	1	392.7	2.5464731347084286	2017-06-20	2017	25	171
571	Risatorpet	OGot	1	392.7	2.5464731347084286	2017-06-22	2017	25	173
571	Risatorpet	OGot	1	392.7	2.5464731347084286	2017-07-02	2017	26	183
571	Risatorpet	OGot	1	392.7	2.5464731347084286	2018-06-16	2018	24	167
575	Sörby Tall	OGot	1	392.7	2.5464731347084286	2013-07-15	2013	29	196
576	Källbo	OSve	1	392.7	2.5464731347084286	2017-07-15	2017	28	196
576	Källbo	OSve	1	392.7	2.5464731347084286	2023-07-10	2023	28	191
592	Bjärkefall, Hästhagen	OGot	1	392.7	2.5464731347084286	2014-06-19	2014	25	170
593	Listregården	OSve	6	392.7	15.278838808250573	2018-06-12	2018	24	163
593	Listregården	OSve	1	392.7	2.5464731347084286	2023-06-21	2023	25	172
618	Gullaskruv	OGot	1	392.7	2.5464731347084286	2017-07-15	2017	28	196
618	Gullaskruv	OGot	1	392.7	2.5464731347084286	2021-06-12	2021	23	163
624	Ersdalens naturreservat	VGotSve	1	392.7	2.5464731347084286	2014-05-25	2014	21	145
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2014-06-10	2014	24	161
626	Högbergets gamla slalombacke	NSveSNor	2	392.7	5.092946269416857	2014-06-21	2014	25	172
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2015-06-23	2015	26	174
626	Högbergets gamla slalombacke	NSveSNor	5	392.7	12.732365673542144	2016-06-26	2016	25	178
626	Högbergets gamla slalombacke	NSveSNor	3	392.7	7.639419404125286	2016-07-17	2016	28	199
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2018-06-02	2018	22	153
626	Högbergets gamla slalombacke	NSveSNor	2	392.7	5.092946269416857	2019-06-07	2019	23	158
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2020-06-04	2020	23	156
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2021-06-26	2021	25	177
626	Högbergets gamla slalombacke	NSveSNor	2	392.7	5.092946269416857	2022-06-27	2022	26	178
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2023-06-28	2023	26	179
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.5464731347084286	2024-06-23	2024	25	175
634	Äppleskogen	SGot	2	392.7	5.092946269416857	2016-08-15	2016	33	228
635	Holma ängar	SGot	1	392.7	2.5464731347084286	2016-07-05	2016	27	187
686	Jordberg, östra infarten	VGotSve	1	392.7	2.5464731347084286	2014-06-12	2014	24	163
686	Jordberg, östra infarten	VGotSve	3	392.7	7.639419404125286	2014-06-18	2014	25	169
686	Jordberg, östra infarten	VGotSve	1	392.7	2.5464731347084286	2014-06-23	2014	26	174
686	Jordberg, östra infarten	VGotSve	1	392.7	2.5464731347084286	2014-07-06	2014	27	187
687	Jordberg	VGotSve	1	392.7	2.5464731347084286	2014-07-06	2014	27	187
688	Jordberg, västra infarten	VGotSve	1	392.7	2.5464731347084286	2014-06-12	2014	24	163
688	Jordberg, västra infarten	VGotSve	1	392.7	2.5464731347084286	2014-07-06	2014	27	187
689	Åsen, Sunne	VGotSve	1	392.7	2.5464731347084286	2014-06-06	2014	23	157
689	Åsen, Sunne	VGotSve	1	392.7	2.5464731347084286	2014-06-12	2014	24	163
689	Åsen, Sunne	VGotSve	2	392.7	5.092946269416857	2014-07-06	2014	27	187
690	Höglunda, östra infarten	VGotSve	1	392.7	2.5464731347084286	2014-06-12	2014	24	163
690	Höglunda, östra infarten	VGotSve	1	392.7	2.5464731347084286	2014-06-18	2014	25	169
690	Höglunda, östra infarten	VGotSve	2	392.7	5.092946269416857	2014-07-06	2014	27	187
691	Höglunda, västra infarten	VGotSve	1	392.7	2.5464731347084286	2014-07-06	2014	27	187
704	Granstorp	OGot	1	392.7	2.5464731347084286	2015-07-01	2015	27	182
704	Granstorp	OGot	1	392.7	2.5464731347084286	2024-07-03	2024	27	185
722	Syntorp 1:17	OGot	1	392.7	2.5464731347084286	2020-06-28	2020	26	180
755	Söderö skola 600 m SO	OGot	1	392.7	2.5464731347084286	2016-06-23	2016	25	175
766	Bredgården Holsljunga	VGotSve	1	392.7	2.5464731347084286	2021-07-16	2021	28	197
767	Grustäkt Holsljunga	VGotSve	1	392.7	2.5464731347084286	2017-07-22	2017	29	203
768	Skjutbana Holsljunga	VGotSve	1	392.7	2.5464731347084286	2016-06-23	2016	25	175
768	Skjutbana Holsljunga	VGotSve	1	392.7	2.5464731347084286	2017-08-01	2017	31	213
792	Sinnerum	OGot	1	392.7	2.5464731347084286	2016-07-01	2016	26	183
792	Sinnerum	OGot	1	392.7	2.5464731347084286	2016-07-08	2016	27	190
792	Sinnerum	OGot	1	392.7	2.5464731347084286	2016-07-14	2016	28	196
792	Sinnerum	OGot	1	392.7	2.5464731347084286	2017-06-27	2017	26	178
800	Ässkogstorp	OSve	1	392.7	2.5464731347084286	2017-07-07	2017	27	188
800	Ässkogstorp	OSve	1	392.7	2.5464731347084286	2017-07-11	2017	28	192
846	Österås, N Byasjön	OGot	1	392.7	2.5464731347084286	2015-08-03	2015	32	215
847	Linneberg, Tidersrum	OGot	1	392.7	2.5464731347084286	2015-06-28	2015	26	179
862	Brandområdet N3	OSve	2	392.7	5.092946269416857	2017-06-22	2017	25	173
862	Brandområdet N3	OSve	4	392.7	10.185892538833716	2017-06-28	2017	26	179
884	Länsmansbärby, fjärilsrabatten	OSve	1	392.7	2.5464731347084286	2019-06-02	2019	22	153
884	Länsmansbärby, fjärilsrabatten	OSve	1	392.7	2.5464731347084286	2019-07-14	2019	28	195
899	Nedre Malsjö	NSveSNor	2	392.7	5.092946269416857	2016-07-10	2016	27	192
899	Nedre Malsjö	NSveSNor	1	392.7	2.5464731347084286	2021-06-18	2021	24	169
900	Hammarbacken	NSveSNor	1	392.7	2.5464731347084286	2018-05-28	2018	22	148
900	Hammarbacken	NSveSNor	4	392.7	10.185892538833716	2019-06-21	2019	25	172
900	Hammarbacken	NSveSNor	1	392.7	2.5464731347084286	2019-07-01	2019	27	182
900	Hammarbacken	NSveSNor	2	392.7	5.092946269416857	2020-06-06	2020	23	158
900	Hammarbacken	NSveSNor	2	392.7	5.092946269416857	2020-06-20	2020	25	172
900	Hammarbacken	NSveSNor	1	392.7	2.5464731347084286	2021-06-16	2021	24	167
900	Hammarbacken	NSveSNor	2	392.7	5.092946269416857	2022-06-11	2022	23	162
900	Hammarbacken	NSveSNor	2	392.7	5.092946269416857	2022-06-19	2022	24	170
