sit_uid	sit_name	segment_number	seg_uid	reg_code	geo_uid	epsg_3006_geom	sum	count_per_1000m	date	year	week	day_of_year	segment_length
32	Gamla Mörtforsvägen	3	52	OGot	2501	0102000020BE0B00000E000000DCF171A8E7F3214181F818D2335258410A4EA0D70BF42141381F8E64295258418A80AF4925F4214175A85F3923525841103BB9D076F421410189253A135258412052AD5311F521410027187700525841FAD6718CA1F52141B7965C8CF25158410019601033F6214102928169E2515841C4FAB325E4F62141C4AFA4A3CC515841F505DCEA4CF7214180BE5E64BC515841ABB5DFA99BF72141A7B6D540AF5158410B9EB09FCAF7214149E1BF05A9515841CD1FEA6DF0F72141743478DDA251584147E7D8ED18F82141B484086D9E51584194AEBAE147F821419F998B6199515841	2	2.37620745506532	2013-06-17	2013	25	168	841.677352596735
37	Lammakulla Mellangård	1	70	OGot	2504	0102000020BE0B0000210000006E33C1CCDD921B410AB44B3B8CFE57413B31475453931B410AFAD8858CFE57410659EBB1B0931B413BC6A9748CFE5741D2AA51C2F5931B41C1D95E478BFE5741EBFE438216941B41FC59453089FE57413A99F92016941B417285431F87FE5741D7AC2AD40F941B415B72A39F85FE574113A3239BE8931B412828A84685FE5741A4480BA0C1931B412B85513E86FE5741853F119694931B416989FF0687FE5741D8759F5F5E931B410A05FA1087FE57413010342C2B931B41213F671A87FE57411ABB22D5EE921B41A8CA389586FE574129EAC8AAC4921B41F241FD9C86FE574112C8C4AF9D921B41C957A99487FE574134A111166E921B41F22519CF8AFE5741B19F304265921B4108EA4FF18BFE57411D3C865353921B41D23C02B58CFE5741762E372626921B41E07956BD8CFE574104B6F2FEFE911B41D5D18EC48CFE57410ECE52C6E9911B41E6AB14088CFE5741DA95063BDA911B41E5FE936989FE574100D1C5F4AE911B416E8C6C6E83FE5741BEFEF2658A911B410CA1FD3381FE5741DAC3DED65C911B41B931512B7FFE5741C1E478AF35911B4141748B327FFE574173D1E7E311911B41DD12231A81FE574146DB406315911B4161D5DDBA83FE5741DD47CD6E4C911B41E1D20E3388FE574153A573036E911B41B7EC219E8AFE5741CBC8456577911B41710C617D8CFE57411B5B239762911B41323800028EFE574184BFB6FD5B911B410C77530E8EFE5741	1	2.52630000031621	2014-06-08	2014	23	159	395.835807257583
37	Lammakulla Mellangård	1	70	OGot	2504	0102000020BE0B0000210000006E33C1CCDD921B410AB44B3B8CFE57413B31475453931B410AFAD8858CFE57410659EBB1B0931B413BC6A9748CFE5741D2AA51C2F5931B41C1D95E478BFE5741EBFE438216941B41FC59453089FE57413A99F92016941B417285431F87FE5741D7AC2AD40F941B415B72A39F85FE574113A3239BE8931B412828A84685FE5741A4480BA0C1931B412B85513E86FE5741853F119694931B416989FF0687FE5741D8759F5F5E931B410A05FA1087FE57413010342C2B931B41213F671A87FE57411ABB22D5EE921B41A8CA389586FE574129EAC8AAC4921B41F241FD9C86FE574112C8C4AF9D921B41C957A99487FE574134A111166E921B41F22519CF8AFE5741B19F304265921B4108EA4FF18BFE57411D3C865353921B41D23C02B58CFE5741762E372626921B41E07956BD8CFE574104B6F2FEFE911B41D5D18EC48CFE57410ECE52C6E9911B41E6AB14088CFE5741DA95063BDA911B41E5FE936989FE574100D1C5F4AE911B416E8C6C6E83FE5741BEFEF2658A911B410CA1FD3381FE5741DAC3DED65C911B41B931512B7FFE5741C1E478AF35911B4141748B327FFE574173D1E7E311911B41DD12231A81FE574146DB406315911B4161D5DDBA83FE5741DD47CD6E4C911B41E1D20E3388FE574153A573036E911B41B7EC219E8AFE5741CBC8456577911B41710C617D8CFE57411B5B239762911B41323800028EFE574184BFB6FD5B911B410C77530E8EFE5741	1	2.52630000031621	2015-07-01	2015	27	182	395.835807257583
37	Lammakulla Mellangård	1	70	OGot	2504	0102000020BE0B0000210000006E33C1CCDD921B410AB44B3B8CFE57413B31475453931B410AFAD8858CFE57410659EBB1B0931B413BC6A9748CFE5741D2AA51C2F5931B41C1D95E478BFE5741EBFE438216941B41FC59453089FE57413A99F92016941B417285431F87FE5741D7AC2AD40F941B415B72A39F85FE574113A3239BE8931B412828A84685FE5741A4480BA0C1931B412B85513E86FE5741853F119694931B416989FF0687FE5741D8759F5F5E931B410A05FA1087FE57413010342C2B931B41213F671A87FE57411ABB22D5EE921B41A8CA389586FE574129EAC8AAC4921B41F241FD9C86FE574112C8C4AF9D921B41C957A99487FE574134A111166E921B41F22519CF8AFE5741B19F304265921B4108EA4FF18BFE57411D3C865353921B41D23C02B58CFE5741762E372626921B41E07956BD8CFE574104B6F2FEFE911B41D5D18EC48CFE57410ECE52C6E9911B41E6AB14088CFE5741DA95063BDA911B41E5FE936989FE574100D1C5F4AE911B416E8C6C6E83FE5741BEFEF2658A911B410CA1FD3381FE5741DAC3DED65C911B41B931512B7FFE5741C1E478AF35911B4141748B327FFE574173D1E7E311911B41DD12231A81FE574146DB406315911B4161D5DDBA83FE5741DD47CD6E4C911B41E1D20E3388FE574153A573036E911B41B7EC219E8AFE5741CBC8456577911B41710C617D8CFE57411B5B239762911B41323800028EFE574184BFB6FD5B911B410C77530E8EFE5741	1	2.52630000031621	2018-06-16	2018	24	167	395.835807257583
37	Lammakulla Mellangård	2	69	OGot	2506	0102000020BE0B00002100000084BFB6FD5B911B410C77530E8EFE5741F2AC856F29911B41CA3FBF6C8EFE57416CC61C4BFC901B4154252EA58EFE574182AF3121E4901B410A9072498EFE57412537DCE5DD901B41AE1C032A8DFE5741BFFB6875E0901B41E68844B88AFE57412D8EB6BDD9901B417BAB8CF786FE5741CE053B1DBE901B41BB5D2E2B84FE5741B0B80CB5A5901B417B64CE7E82FE5741700B2BD590901B41909840A383FE57415094276388901B410E197BD686FE5741A9FB723B8C901B41C3FB1E588BFE5741C286B96A86901B414250C8798CFE57418719E56F5F901B41FB9079718DFE57414090BF7426901B417216B1CC8EFE5741F2A3D919BA8F1B4129C9EC408FFE5741953ECFE0928F1B416157FCE78EFE5741D398816F718F1B413B464B3D8DFE5741C3C26707628F1B41B8BB2A5F8BFE5741943FCEE3618F1B41AC17CD9E8AFE5741D8AC71C9738F1B4196E8FFAA89FE574142CBD211B38F1B4186AB63CF89FE57411A5BD959E08F1B4180C54E578AFE57419B4C655DFE8F1B41EFAD76C189FE57410AF24DFC21901B411F5D68E986FE57410E99278F39901B4125F6931384FE5741FCCB27A23B901B4109648A007FFE5741B6B204462F901B41E379F0517DFE574152AA891802901B41CFC04A5A7DFE57418B58010CE48F1B41B1AE0BC07DFE5741B06FDE69898F1B41EACF05507CFE57416867F49A258F1B414B924F217AFE5741729A9104EF8E1B41ACE6C17A79FE5741	1	2.57452918276321	2010-07-04	2010	26	185	388.420534012635
37	Lammakulla Mellangård	2	69	OGot	2506	0102000020BE0B00002100000084BFB6FD5B911B410C77530E8EFE5741F2AC856F29911B41CA3FBF6C8EFE57416CC61C4BFC901B4154252EA58EFE574182AF3121E4901B410A9072498EFE57412537DCE5DD901B41AE1C032A8DFE5741BFFB6875E0901B41E68844B88AFE57412D8EB6BDD9901B417BAB8CF786FE5741CE053B1DBE901B41BB5D2E2B84FE5741B0B80CB5A5901B417B64CE7E82FE5741700B2BD590901B41909840A383FE57415094276388901B410E197BD686FE5741A9FB723B8C901B41C3FB1E588BFE5741C286B96A86901B414250C8798CFE57418719E56F5F901B41FB9079718DFE57414090BF7426901B417216B1CC8EFE5741F2A3D919BA8F1B4129C9EC408FFE5741953ECFE0928F1B416157FCE78EFE5741D398816F718F1B413B464B3D8DFE5741C3C26707628F1B41B8BB2A5F8BFE5741943FCEE3618F1B41AC17CD9E8AFE5741D8AC71C9738F1B4196E8FFAA89FE574142CBD211B38F1B4186AB63CF89FE57411A5BD959E08F1B4180C54E578AFE57419B4C655DFE8F1B41EFAD76C189FE57410AF24DFC21901B411F5D68E986FE57410E99278F39901B4125F6931384FE5741FCCB27A23B901B4109648A007FFE5741B6B204462F901B41E379F0517DFE574152AA891802901B41CFC04A5A7DFE57418B58010CE48F1B41B1AE0BC07DFE5741B06FDE69898F1B41EACF05507CFE57416867F49A258F1B414B924F217AFE5741729A9104EF8E1B41ACE6C17A79FE5741	2	5.14905836552643	2011-06-03	2011	22	154	388.420534012635
37	Lammakulla Mellangård	2	69	OGot	2506	0102000020BE0B00002100000084BFB6FD5B911B410C77530E8EFE5741F2AC856F29911B41CA3FBF6C8EFE57416CC61C4BFC901B4154252EA58EFE574182AF3121E4901B410A9072498EFE57412537DCE5DD901B41AE1C032A8DFE5741BFFB6875E0901B41E68844B88AFE57412D8EB6BDD9901B417BAB8CF786FE5741CE053B1DBE901B41BB5D2E2B84FE5741B0B80CB5A5901B417B64CE7E82FE5741700B2BD590901B41909840A383FE57415094276388901B410E197BD686FE5741A9FB723B8C901B41C3FB1E588BFE5741C286B96A86901B414250C8798CFE57418719E56F5F901B41FB9079718DFE57414090BF7426901B417216B1CC8EFE5741F2A3D919BA8F1B4129C9EC408FFE5741953ECFE0928F1B416157FCE78EFE5741D398816F718F1B413B464B3D8DFE5741C3C26707628F1B41B8BB2A5F8BFE5741943FCEE3618F1B41AC17CD9E8AFE5741D8AC71C9738F1B4196E8FFAA89FE574142CBD211B38F1B4186AB63CF89FE57411A5BD959E08F1B4180C54E578AFE57419B4C655DFE8F1B41EFAD76C189FE57410AF24DFC21901B411F5D68E986FE57410E99278F39901B4125F6931384FE5741FCCB27A23B901B4109648A007FFE5741B6B204462F901B41E379F0517DFE574152AA891802901B41CFC04A5A7DFE57418B58010CE48F1B41B1AE0BC07DFE5741B06FDE69898F1B41EACF05507CFE57416867F49A258F1B414B924F217AFE5741729A9104EF8E1B41ACE6C17A79FE5741	1	2.57452918276321	2011-06-26	2011	25	177	388.420534012635
37	Lammakulla Mellangård	2	69	OGot	2506	0102000020BE0B00002100000084BFB6FD5B911B410C77530E8EFE5741F2AC856F29911B41CA3FBF6C8EFE57416CC61C4BFC901B4154252EA58EFE574182AF3121E4901B410A9072498EFE57412537DCE5DD901B41AE1C032A8DFE5741BFFB6875E0901B41E68844B88AFE57412D8EB6BDD9901B417BAB8CF786FE5741CE053B1DBE901B41BB5D2E2B84FE5741B0B80CB5A5901B417B64CE7E82FE5741700B2BD590901B41909840A383FE57415094276388901B410E197BD686FE5741A9FB723B8C901B41C3FB1E588BFE5741C286B96A86901B414250C8798CFE57418719E56F5F901B41FB9079718DFE57414090BF7426901B417216B1CC8EFE5741F2A3D919BA8F1B4129C9EC408FFE5741953ECFE0928F1B416157FCE78EFE5741D398816F718F1B413B464B3D8DFE5741C3C26707628F1B41B8BB2A5F8BFE5741943FCEE3618F1B41AC17CD9E8AFE5741D8AC71C9738F1B4196E8FFAA89FE574142CBD211B38F1B4186AB63CF89FE57411A5BD959E08F1B4180C54E578AFE57419B4C655DFE8F1B41EFAD76C189FE57410AF24DFC21901B411F5D68E986FE57410E99278F39901B4125F6931384FE5741FCCB27A23B901B4109648A007FFE5741B6B204462F901B41E379F0517DFE574152AA891802901B41CFC04A5A7DFE57418B58010CE48F1B41B1AE0BC07DFE5741B06FDE69898F1B41EACF05507CFE57416867F49A258F1B414B924F217AFE5741729A9104EF8E1B41ACE6C17A79FE5741	1	2.57452918276321	2012-06-20	2012	25	172	388.420534012635
37	Lammakulla Mellangård	2	69	OGot	2506	0102000020BE0B00002100000084BFB6FD5B911B410C77530E8EFE5741F2AC856F29911B41CA3FBF6C8EFE57416CC61C4BFC901B4154252EA58EFE574182AF3121E4901B410A9072498EFE57412537DCE5DD901B41AE1C032A8DFE5741BFFB6875E0901B41E68844B88AFE57412D8EB6BDD9901B417BAB8CF786FE5741CE053B1DBE901B41BB5D2E2B84FE5741B0B80CB5A5901B417B64CE7E82FE5741700B2BD590901B41909840A383FE57415094276388901B410E197BD686FE5741A9FB723B8C901B41C3FB1E588BFE5741C286B96A86901B414250C8798CFE57418719E56F5F901B41FB9079718DFE57414090BF7426901B417216B1CC8EFE5741F2A3D919BA8F1B4129C9EC408FFE5741953ECFE0928F1B416157FCE78EFE5741D398816F718F1B413B464B3D8DFE5741C3C26707628F1B41B8BB2A5F8BFE5741943FCEE3618F1B41AC17CD9E8AFE5741D8AC71C9738F1B4196E8FFAA89FE574142CBD211B38F1B4186AB63CF89FE57411A5BD959E08F1B4180C54E578AFE57419B4C655DFE8F1B41EFAD76C189FE57410AF24DFC21901B411F5D68E986FE57410E99278F39901B4125F6931384FE5741FCCB27A23B901B4109648A007FFE5741B6B204462F901B41E379F0517DFE574152AA891802901B41CFC04A5A7DFE57418B58010CE48F1B41B1AE0BC07DFE5741B06FDE69898F1B41EACF05507CFE57416867F49A258F1B414B924F217AFE5741729A9104EF8E1B41ACE6C17A79FE5741	1	2.57452918276321	2012-06-26	2012	26	178	388.420534012635
37	Lammakulla Mellangård	2	69	OGot	2506	0102000020BE0B00002100000084BFB6FD5B911B410C77530E8EFE5741F2AC856F29911B41CA3FBF6C8EFE57416CC61C4BFC901B4154252EA58EFE574182AF3121E4901B410A9072498EFE57412537DCE5DD901B41AE1C032A8DFE5741BFFB6875E0901B41E68844B88AFE57412D8EB6BDD9901B417BAB8CF786FE5741CE053B1DBE901B41BB5D2E2B84FE5741B0B80CB5A5901B417B64CE7E82FE5741700B2BD590901B41909840A383FE57415094276388901B410E197BD686FE5741A9FB723B8C901B41C3FB1E588BFE5741C286B96A86901B414250C8798CFE57418719E56F5F901B41FB9079718DFE57414090BF7426901B417216B1CC8EFE5741F2A3D919BA8F1B4129C9EC408FFE5741953ECFE0928F1B416157FCE78EFE5741D398816F718F1B413B464B3D8DFE5741C3C26707628F1B41B8BB2A5F8BFE5741943FCEE3618F1B41AC17CD9E8AFE5741D8AC71C9738F1B4196E8FFAA89FE574142CBD211B38F1B4186AB63CF89FE57411A5BD959E08F1B4180C54E578AFE57419B4C655DFE8F1B41EFAD76C189FE57410AF24DFC21901B411F5D68E986FE57410E99278F39901B4125F6931384FE5741FCCB27A23B901B4109648A007FFE5741B6B204462F901B41E379F0517DFE574152AA891802901B41CFC04A5A7DFE57418B58010CE48F1B41B1AE0BC07DFE5741B06FDE69898F1B41EACF05507CFE57416867F49A258F1B414B924F217AFE5741729A9104EF8E1B41ACE6C17A79FE5741	9	23.1707626448689	2014-06-08	2014	23	159	388.420534012635
