landscape	model	n_reps	mean_historical_EW_FST	mean_modern_EW_FST	mean_delta_FST	sd_delta_FST	min_delta_FST	max_delta_FST	empirical_historical_EW	empirical_modern_EW	empirical_delta_FST	error_delta_FST
full	Kexp1p3_D120	5	0.00609243760404832	0.0131348916952027	0.00704245409115443	0.00244090083498173	0.00349632247993117	0.00906437666923368	0.02874	0.0494	0.02066	-0.0136175459088456
no_oland	Kexp1p2_D120	5	0.00688663236330245	0.010307523248217	0.00342089088491452	0.00181336718720242	0.000901791419990225	0.00568941977271625	0.02874	0.0494	0.02066	-0.0172391091150855
no_oland	Kexp1p3_D120	5	0.0062058920695521	0.011695154417963	0.00548926234841087	0.00239304800210842	0.00244709393686282	0.00774473448731064	0.02874	0.0494	0.02066	-0.0151707376515891
skane_only	Kexp1p2_D120	5	0.00629989565753469	0.0108961802005189	0.00459628454298416	0.00167076011602707	0.00295424119599193	0.00661953248302688	0.02874	0.0494	0.02066	-0.0160637154570158
skane_only	Kexp1p3_D120	5	0.00703221961440909	0.0126515318132125	0.00561931219880338	0.00126765818211791	0.00404605955206992	0.00747803271000354	0.02874	0.0494	0.02066	-0.0150406878011966
skane_only	Kexp1p5_D120	5	0.00750380249436188	0.016077008090078	0.00857320559571612	0.00406349040536037	0.00410379166140242	0.0145828674427383	0.02874	0.0494	0.02066	-0.0120867944042839
