K	n_replicates	mean_cv	sd_cv	min_cv	max_cv	converged_replicates	mean_top3_spread	best_by_cv	selected_for_plot
1	18	0.3607110277777778	0.0022996888630486484	0.35701499999999997	0.3651560000000001	18	0.0	False	False
2	18	0.35951919444444447	0.002262066507960774	0.3558720000000001	0.36386650000000004	18	7.222406566143036e-07	False	False
3	18	0.3588235833333333	0.002254039943340939	0.35513400000000006	0.3630965	18	0.0005661668773326608	False	False
4	18	0.3582035555555556	0.0022438236134992165	0.35447950000000006	0.362426	18	0.0019151109477712049	False	False
5	18	0.3576258055555555	0.0022237244204717887	0.353842	0.36178099999999996	17	0.13043627784483963	False	False
6	18	0.3571040277777778	0.002216053079053617	0.353279	0.3612405	18	0.010135722294863727	False	False
7	18	0.35672152777777777	0.002187990398625416	0.352934	0.36071499999999995	18	0.1280738888308406	False	True
8	18	0.35639025	0.0021797020792786695	0.3526409999999999	0.36038300000000006	14	13.956986888725725	True	False
