replicate	K	n_runs	mean_cv	sd_cv	best_loglikelihood	top3_ll_spread	top3_converged	best_run	best_q_file	best_run_dir
rep027	3	20	0.35899549999999997	2.8372521918221347e-05	-8041128.832064	0.0007159998640418053	True	run20	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K3/run20/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K3/run20
rep027	4	20	0.35840200000000005	2.894641146744084e-05	-8021323.768861	0.002286999486386776	True	run19	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K4/run19/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K4/run19
rep027	5	20	0.357892	4.741751841494499e-05	-8003163.736583	2.2950449995696545	False	run18	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K5/run18/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K5/run18
rep027	6	20	0.3573525	5.514335384870511e-05	-7985603.461405	0.06739199999719858	True	run19	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K6/run19/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K6/run19
rep027	7	20	0.35688149999999996	8.821474993028093e-05	-7968959.754674	0.03606799989938736	True	run20	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K7/run20/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K7/run20
rep027	8	20	0.3565085	9.460583046458594e-05	-7953287.536877	30.657585999928415	False	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K8/run14/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep027/K8/run14
rep028	1	20	0.3651560000000001	6.805570473787143e-06	-8097015.708468	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K1/run01
rep028	2	20	0.36386650000000004	1.3088765773498875e-05	-8068399.418885	2.9997900128364563e-06	True	run05	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K2/run05/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K2/run05
rep028	3	20	0.3630965	1.1367080817670596e-05	-8046932.43309	6.099976599216461e-05	True	run08	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K3/run08/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K3/run08
rep028	4	20	0.362426	2.062190965683414e-05	-8027428.08176	0.001623000018298626	True	run16	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K4/run16/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K4/run16
rep028	5	20	0.36178099999999996	2.1496633763395942e-05	-8009008.240318	0.001970999874174595	True	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K5/run14/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K5/run14
rep028	6	20	0.3612405	3.561120462350696e-05	-7992060.697231	0.004753999412059784	True	run16	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K6/run16/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K6/run16
rep028	7	20	0.36071499999999995	4.501461750891168e-05	-7975735.846017	0.01670399960130453	True	run17	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K7/run17/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep028/K7/run17
