landscape	model	comparison	n_reps	mean_retention	sd_retention	min_retention	max_retention	mean_retention_100yr	sd_retention_100yr	empirical_retention	empirical_retention_100yr	error_100yr_percentage_points
full	Kexp1p3_D120	E_Skane	5	0.980059690957117	0.0239859881333944	0.943175294073539	1.0083335741386	0.969222934906438	0.0369300904244166	0.977496483825598	0.965589693004084	0.363324190235381
full	Kexp1p3_D120	Ehist_to_SEmodern	5	0.991858566665144	0.011475237550624	0.980899029271771	1.00464169221885	0.987354618861643	0.0178586821088538	0.846958509142054	0.77749965584844	20.9854963013203
full	Kexp1p3_D120	W_Skane	5	0.995725732564407	0.0112908963600969	0.979096610314856	1.00719488298357	0.993844676472223	0.0163126197442578	0.954646509559804	0.935844513461133	5.80001630110896
no_oland	Kexp1p2_D120	E_Skane	5	0.994423813256184	0.0116529311839429	0.983632507061789	1.01299578581493	0.991348678531262	0.0181954592084926	0.977496483825598	0.965589693004084	2.57589855271775
no_oland	Kexp1p2_D120	Ehist_to_SEmodern	5	0.986727058884705	0.0215099771709455	0.950092168161633	1.00117345162	0.979502777888304	0.033137980209143	0.846958509142054	0.77749965584844	20.2003122039864
no_oland	Kexp1p2_D120	W_Skane	5	0.988564060306912	0.0170744802172128	0.96320375496396	1.00556217522222	0.983545386860624	0.0245665942091949	0.954646509559804	0.935844513461133	4.77008733994908
no_oland	Kexp1p3_D120	E_Skane	5	0.977202212972968	0.00448299972242164	0.970162561065917	0.98205240609833	0.964614764394258	0.00690900192569799	0.977496483825598	0.965589693004084	-0.0974928609826287
no_oland	Kexp1p3_D120	Ehist_to_SEmodern	5	0.987595010474011	0.00289844020765074	0.983939788634861	0.992042082030175	0.980687920582356	0.00449860654797013	0.846958509142054	0.77749965584844	20.3188264733915
no_oland	Kexp1p3_D120	W_Skane	5	1.00110970951441	0.00303857359144574	0.997839738259077	1.00562225114442	1.00161107811042	0.0044073298000711	0.954646509559804	0.935844513461133	6.57665646492832
skane_only	Kexp1p2_D120	E_Skane	5	0.996712090030446	0.00412755638402344	0.991845347535244	1.00216555111217	0.994873391486379	0.00643783363971894	0.977496483825598	0.965589693004084	2.92836984822951
skane_only	Kexp1p2_D120	Ehist_to_SEmodern	5	0.99132387583481	0.0166473276198782	0.972598148108209	1.00769540310236	0.986574551111468	0.0258483097431761	0.846958509142054	0.77749965584844	20.9074895263028
skane_only	Kexp1p2_D120	W_Skane	5	0.998641281529077	0.00790910630051928	0.987571629822717	1.005883914302	0.998047758577681	0.0114467038704089	0.954646509559804	0.935844513461133	6.22032451165476
skane_only	Kexp1p3_D120	E_Skane	5	0.988299677994864	0.0125148220365767	0.969762626437886	0.999432057239026	0.981833915256854	0.0193857505200091	0.977496483825598	0.965589693004084	1.62442222527702
skane_only	Kexp1p3_D120	Ehist_to_SEmodern	5	0.97962402436427	0.0302375661167213	0.946419737173934	1.0139961610679	0.968669669175704	0.046764547380841	0.846958509142054	0.77749965584844	19.1170013327263
skane_only	Kexp1p3_D120	W_Skane	5	0.988890313544102	0.00974812980976121	0.975454954392325	1.00277485191161	0.983964169414146	0.0140590637916789	0.954646509559804	0.935844513461133	4.81196559530128
skane_only	Kexp1p5_D120	E_Skane	5	0.982631711731115	0.033661810620563	0.927467981054403	1.00845505763156	0.973398220599455	0.0516281396863709	0.977496483825598	0.965589693004084	0.780852759537076
skane_only	Kexp1p5_D120	Ehist_to_SEmodern	5	0.986575355856893	0.0126689575287036	0.967992909912373	1.00296000972011	0.979160135231118	0.0196285350247637	0.846958509142054	0.77749965584844	20.1660479382678
skane_only	Kexp1p5_D120	W_Skane	5	1.00043858256446	0.00764618972282546	0.98946604312862	1.00928059586108	1.00065092021598	0.011077086425879	0.954646509559804	0.935844513461133	6.48064067548467
