landscape	model	target	n_reps	mean_H	sd_between_reps	min_rep_H	max_rep_H	empirical_H	sim_empirical_ratio
full	Kexp1p3_D120	ESkane_hist	5	0.230021843764993	0.00135661556771524	0.228681333954563	0.231896462630211	2.2752	0.101099614875612
full	Kexp1p3_D120	ESkane_mod	5	0.22544171090503	0.00596725364819767	0.215686584401724	0.230688516836092	2.224	0.10136767576665
full	Kexp1p3_D120	SESkane_mod	5	0.22814083817486	0.00201005670387125	0.226245303080681	0.230755263497669	1.927	0.11839171674876
full	Kexp1p3_D120	WSkane_hist	5	0.230560270647208	0.00160109875043276	0.227729759163879	0.23158843006119	2.249	0.102516794418501
full	Kexp1p3_D120	WSkane_mod	5	0.229566320718821	0.00211790533122512	0.226415107251786	0.232231262113869	2.147	0.106924229491766
no_oland	Kexp1p2_D120	ESkane_hist	5	0.229547771104944	0.000515788953015108	0.229013847985307	0.230275624588457	2.2752	0.100891249606603
no_oland	Kexp1p2_D120	ESkane_mod	5	0.22826410322004	0.00230491901480312	0.226401420358629	0.231990062902379	2.224	0.102636737059371
no_oland	Kexp1p2_D120	NSmaland_hist_1900proxy	4	0.215987007402474	0.0167437392340959	0.191032357933019	0.226444912828866	NA	NA
no_oland	Kexp1p2_D120	NSmaland_hist_1951proxy	1	0.225549669502849	NA	0.225549669502849	0.225549669502849	NA	NA
no_oland	Kexp1p2_D120	SESkane_mod	5	0.226501760780068	0.00500266909722134	0.217838156627685	0.230150162630911	1.927	0.117541131696974
no_oland	Kexp1p2_D120	WSkane_hist	5	0.231042131924193	0.00115389335565056	0.229037606365882	0.231817336893165	2.249	0.102731050210846
no_oland	Kexp1p2_D120	WSkane_mod	5	0.228391972373755	0.0035177091388703	0.223287329361242	0.23271224019888	2.147	0.106377257742783
no_oland	Kexp1p3_D120	ESkane_hist	5	0.230682512680132	0.000712788232808661	0.229565765495797	0.231279984302941	2.2752	0.101389993266584
no_oland	Kexp1p3_D120	ESkane_mod	5	0.225423401457391	0.00123470034353902	0.224161224577177	0.227009260448613	2.224	0.101359443101345
no_oland	Kexp1p3_D120	SESkane_mod	5	0.227821044469616	0.0010140178545368	0.226752566641095	0.229439477159796	1.927	0.11822576256856
no_oland	Kexp1p3_D120	WSkane_hist	5	0.230379851571067	0.00125768430472531	0.228364314519847	0.231725195695457	2.249	0.102436572508256
no_oland	Kexp1p3_D120	WSkane_mod	5	0.230633859648606	0.00106152962136227	0.228928653531484	0.231550403740106	2.147	0.107421453026831
skane_only	Kexp1p2_D120	ESkane_hist	5	0.22921511245797	0.00105986815919951	0.22778770895302	0.230517443583788	2.2752	0.100745038879206
skane_only	Kexp1p2_D120	ESkane_mod	5	0.228459464251617	0.00092933823402313	0.227260337465071	0.229690019243772	2.224	0.102724579249828
skane_only	Kexp1p2_D120	SESkane_mod	5	0.227224207387406	0.00380476596210091	0.223255436317753	0.232291368234291	1.927	0.117916039121643
skane_only	Kexp1p2_D120	WSkane_hist	5	0.230959927927403	0.000663007548192622	0.230295457671372	0.232038186535206	2.249	0.102694498856115
skane_only	Kexp1p2_D120	WSkane_mod	5	0.230648618251322	0.00228459958807575	0.227885996340486	0.233189280074068	2.147	0.10742832708492
skane_only	Kexp1p3_D120	ESkane_hist	5	0.228922450528208	0.00318108900121445	0.225161478223714	0.232185901683999	2.2752	0.100616407580964
skane_only	Kexp1p3_D120	ESkane_mod	5	0.226235641093301	0.0036591755803653	0.220942415934973	0.230234589733312	2.224	0.101724658764973
skane_only	Kexp1p3_D120	SESkane_mod	5	0.22418342980896	0.00396738922630638	0.219745320047263	0.229033297392511	1.927	0.116338053870763
skane_only	Kexp1p3_D120	WSkane_hist	5	0.232376402577288	0.00103705147781267	0.230658444407636	0.233445302449091	2.249	0.103324323066825
skane_only	Kexp1p3_D120	WSkane_mod	5	0.229789752793534	0.0018112313832121	0.22668710197288	0.23129848743303	2.147	0.107028296596895
skane_only	Kexp1p5_D120	ESkane_hist	5	0.229286986724075	0.00111737269167443	0.227846588417924	0.230676418139028	2.2752	0.100776629186039
skane_only	Kexp1p5_D120	ESkane_mod	5	0.22528273634979	0.0069860074701136	0.213944991808265	0.231098736265913	2.224	0.101296194401884
skane_only	Kexp1p5_D120	SESkane_mod	5	0.226200294968411	0.00218774315529496	0.222632996260202	0.228521016534335	1.927	0.117384688618791
skane_only	Kexp1p5_D120	WSkane_hist	5	0.22928977575136	0.00212377784180651	0.225816176554517	0.231258085273889	2.249	0.101951878946803
skane_only	Kexp1p5_D120	WSkane_mod	5	0.229382490249122	0.00176929835592247	0.227911885228015	0.232311123844226	2.147	0.106838607475138
