landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_H	median_H	sd_sampling	q025_sampling	q975_sampling	min_H	max_H	empirical_H	sim_empirical_ratio
skane_only	Kexp1p2_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.223255436317753	0.227065926399798	0.0102251493010821	0.198549967006471	0.234689267645189	0.186510665893324	0.23689023811896	1.927	0.115856479666711
skane_only	Kexp1p2_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.233189280074068	0.233610087477841	0.00225505343729148	0.228464267576386	0.236716269775172	0.226982919635367	0.237738751710926	2.147	0.108611681450428
skane_only	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.230658444407636	0.231830145759215	0.00740996156406921	0.220398491053601	0.238199199456202	0.183920854843061	0.241054595260751	2.249	0.102560446601884
skane_only	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.225871957100215	0.229593759065953	0.0111596627275047	0.196371020994196	0.236107687235795	0.189808801333403	0.238151940938319	2.2752	0.0992756492177458
skane_only	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.225743674757273	0.230201276351853	0.0114272844056595	0.192491464672657	0.235953645126957	0.183475385207278	0.23769355913918	2.224	0.101503450880069
skane_only	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.229033297392511	0.22988815639047	0.00546985443097638	0.213937392077833	0.2368129495983	0.211589776320233	0.238388049068257	1.927	0.118854850748579
skane_only	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.23129848743303	0.23140856362564	0.00264078626806774	0.226067285851384	0.236016914727402	0.223128638873597	0.238255238245167	2.147	0.107731014174677
skane_only	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.233445302449091	0.233684332417138	0.00289491314011796	0.227670104969174	0.238303529736118	0.221200852884544	0.238751065318038	2.249	0.103799600911112
skane_only	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.232185901683999	0.232635864752629	0.0033081047965793	0.225687313164224	0.23698778029014	0.216872695727608	0.239019638315843	2.2752	0.102050765508087
skane_only	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.225165209838924	0.228564659646478	0.00828889136777944	0.205449950414711	0.23513210873343	0.200687298960845	0.237041494889701	2.224	0.101243349747718
skane_only	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.219745320047263	0.224247385598657	0.0123070499948319	0.194732393680527	0.233585277678249	0.170329880613474	0.235606400162419	1.927	0.114034935156857
skane_only	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.230629701932006	0.232131644773577	0.00528674776496806	0.212157819278159	0.236312119062129	0.207291870517446	0.236886548929429	2.147	0.10741951650303
skane_only	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.232391153432706	0.232387951216194	0.00292256198971308	0.226592197572214	0.237324271267198	0.223886582862595	0.239246892390909	2.249	0.103330881917611
skane_only	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.225161478223714	0.230363324001971	0.0133863311738507	0.186316319388869	0.236414738480401	0.18342502777019	0.237883367940514	2.2752	0.0989633782628841
skane_only	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.220942415934973	0.228939112383802	0.0168126338534317	0.174914136696115	0.236441402097731	0.164339559113666	0.238358535552015	2.224	0.0993446114815526
skane_only	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.227078543427992	0.227792696737265	0.00559420049300348	0.213592637316227	0.235617836649963	0.211781614175808	0.236831211086475	1.927	0.117840448068496
skane_only	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.22668710197288	0.22875511405598	0.0073709073279609	0.202142176966983	0.233505821758741	0.199279873155039	0.235356457571742	2.147	0.105583186759609
skane_only	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.23263617464455	0.233498397264812	0.00389282415452189	0.221179418693373	0.238023077548026	0.220147220354693	0.240021622192269	2.249	0.103439828654758
